AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-154.0,870.0,3733.0,18.0,305.0,-30.0
-146.0,905.0,3710.0,-13.0,66.0,33.0
-174.0,882.0,3709.0,14.0,45.0,40.0
-160.0,860.0,3686.0,24.0,30.0,66.0
-175.0,880.0,3707.0,-4.0,51.0,87.0
-192.0,883.0,3622.0,-32.0,85.0,88.0
-232.0,868.0,3640.0,-28.0,91.0,74.0
-181.0,887.0,3688.0,-25.0,101.0,59.0
-194.0,860.0,3711.0,-38.0,142.0,55.0
-174.0,849.0,3736.0,-50.0,191.0,42.0
-177.0,838.0,3705.0,-51.0,225.0,27.0
-164.0,868.0,3728.0,-54.0,232.0,-5.0
-151.0,846.0,3702.0,-55.0,192.0,-23.0
-194.0,811.0,3665.0,-64.0,215.0,-38.0
-334.0,807.0,3687.0,-75.0,255.0,-45.0
-300.0,826.0,3704.0,-79.0,286.0,-56.0
-240.0,842.0,3655.0,-63.0,310.0,-68.0
-285.0,813.0,3666.0,-63.0,354.0,-58.0
-295.0,795.0,3679.0,-86.0,447.0,-58.0
-267.0,832.0,3701.0,-89.0,528.0,-78.0
-250.0,845.0,3737.0,-64.0,482.0,-105.0
-260.0,800.0,3727.0,-63.0,402.0,-110.0
-327.0,757.0,3692.0,-79.0,418.0,-119.0
-423.0,774.0,3711.0,-72.0,441.0,-133.0
-455.0,817.0,3724.0,-56.0,421.0,-133.0
-435.0,827.0,3723.0,-57.0,443.0,-137.0
-462.0,795.0,3748.0,-68.0,506.0,-129.0
-576.0,796.0,3768.0,-86.0,573.0,-114.0
-620.0,797.0,3726.0,-76.0,603.0,-115.0
-608.0,801.0,3767.0,-43.0,577.0,-138.0
-744.0,839.0,3734.0,-38.0,546.0,-146.0
-878.0,886.0,3780.0,-64.0,616.0,-164.0
-987.0,799.0,3862.0,-63.0,724.0,-192.0
-1011.0,754.0,4043.0,-69.0,763.0,-195.0
-997.0,725.0,4174.0,-100.0,768.0,-168.0
-936.0,736.0,4171.0,-129.0,822.0,-138.0
-918.0,660.0,4274.0,-154.0,876.0,-82.0
-910.0,496.0,4146.0,-207.0,864.0,35.0
-1081.0,386.0,3904.0,-246.0,835.0,133.0
-1286.0,503.0,3659.0,-230.0,899.0,170.0
-1423.0,591.0,3561.0,-184.0,1158.0,200.0
