sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-163,-135,1030,143,112,-126
1,-175,-125,1022,85,32,-157
2,-169,-105,1045,-31,-65,-112
3,-180,-117,1064,-58,-171,-71
4,-190,-128,1033,-9,-261,-85
5,-178,-126,995,-31,-286,-85
6,-183,-123,989,-99,-235,-92
7,-178,-120,976,-138,-140,-90
8,-172,-121,961,-169,-52,-114
9,-159,-118,960,-154,3,-126
10,-178,-94,978,-103,40,-96
11,-155,-88,1007,-42,67,-47
12,-167,-100,1019,42,19,-22
13,-161,-108,1013,118,-69,-8
14,-169,-104,1002,118,-147,5
15,-165,-97,1000,73,-149,21
16,-176,-103,980,16,-120,23
17,-157,-116,976,-97,-87,44
18,-163,-117,981,-169,-58,37
19,-171,-131,974,-152,-3,-12
20,-155,-133,970,-101,69,-69
21,-154,-112,988,-91,112,-92
22,-163,-103,1033,-72,89,-42
23,-153,-84,1037,24,21,-6
24,-154,-95,1047,98,-89,13
25,-166,-113,1045,110,-200,29
26,-180,-127,1011,49,-266,42
27,-187,-129,972,-31,-222,48
28,-164,-146,959,-97,-122,33
29,-180,-135,950,-150,-7,-14
30,-178,-127,962,-185,91,-20
31,-158,-136,972,-171,171,11
32,-162,-126,987,-111,175,21
33,-156,-122,1004,-21,116,42
34,-168,-133,1021,77,-7,70
35,-168,-140,1015,114,-155,85
36,-187,-161,1000,153,-231,58
37,-188,-158,981,141,-233,42
38,-177,-167,982,59,-163,-4
39,-169,-157,973,-23,-30,-65
40,-164,-142,975,-87,110,-108
41,-161,-127,990,-105,175,-128
42,-165,-111,1002,-58,218,-126
43,-163,-95,1050,46,204,-34
44,-148,-104,1062,137,85,68
45,-145,-136,1064,153,-99,70
46,-158,-125,1045,100,-245,44
47,-161,-149,1021,-29,-345,31
48,-176,-157,978,-142,-347,-10
49,-168,-150,947,-206,-198,-61
50,-170,-147,935,-199,-5,-122
51,-154,-132,946,-177,155,-116
52,-154,-121,969,-99,265,-108
53,-166,-110,993,7,304,-83
54,-170,-117,1043,91,259,-20
55,-153,-126,1028,120,157,35
56,-159,-134,1027,114,-16,37
57,-160,-136,1003,69,-155,42
58,-162,-137,987,16,-214,21
59,-151,-139,976,-60,-200,-1
60,-164,-127,975,-66,-151,-44
61,-177,-118,975,-40,-65,-38
62,-170,-131,978,-9,46,11
63,-165,-142,997,8,134,-8
64,-155,-129,1017,20,138,-12
65,-154,-131,1035,18,67,21
66,-161,-130,1046,24,-40,37
67,-165,-138,1047,14,-143,29
68,-163,-140,1016,-19,-216,-4
69,-165,-137,993,-70,-247,-12
70,-169,-144,994,-154,-218,-12
71,-169,-144,951,-179,-149,-40
72,-163,-143,929,-156,-48,-92
73,-163,-128,969,-126,69,-112
74,-145,-117,998,-56,150,-47
75,-152,-105,1036,65,155,39
