sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-416,15,920,-88,-75,-28
1,-425,33,930,-129,-45,-28
2,-404,23,926,-125,-28,-8
3,-413,15,935,-86,-36,-16
4,-405,12,921,-77,-67,-16
5,-414,6,924,-122,-98,-34
6,-418,23,913,-170,-100,-43
7,-411,13,903,-178,-90,-34
8,-412,10,901,-149,-98,-24
9,-416,20,886,-96,-102,-32
10,-409,16,906,-77,-73,-45
11,-406,5,913,-108,-42,-47
12,-410,9,896,-127,5,-51
13,-406,16,915,-102,35,-49
14,-410,34,924,-61,27,-42
15,-408,22,960,-32,0,-40
16,-408,19,936,-53,-34,-40
17,-412,23,945,-90,-63,-34
18,-410,25,923,-108,-71,-34
19,-406,31,923,-94,-55,-32
20,-402,21,910,-65,-24,-14
21,-396,29,919,-51,-6,-14
22,-414,22,933,-57,15,-4
23,-407,15,926,-67,29,7
24,-405,21,922,-71,9,1
25,-417,13,918,-69,-16,0
26,-412,22,924,-65,-38,-8
27,-411,16,924,-61,-38,-16
28,-414,23,908,-67,-24,-8
29,-418,22,913,-53,0,-6
30,-423,22,912,-47,31,0
31,-408,21,925,-57,54,-6
32,-409,18,924,-67,46,-16
33,-410,20,934,-83,41,-22
34,-416,23,919,-88,31,-10
35,-415,26,947,-65,19,-4
36,-417,23,942,-40,7,-4
37,-403,25,918,-34,7,9
38,-411,16,941,-38,13,1
39,-417,17,934,-55,35,-4
40,-399,21,956,-88,29,-14
41,-406,22,953,-114,19,-14
42,-407,33,943,-108,3,-18
43,-420,20,937,-79,-8,-8
44,-410,28,945,-47,-16,-4
45,-416,22,935,-65,-14,5
46,-408,12,922,-98,-22,0
47,-418,25,923,-102,-14,3
48,-411,29,936,-75,3,27
49,-420,16,926,-45,9,35
50,-429,9,945,-28,-2,25
51,-422,5,932,-40,-2,17
52,-420,13,928,-59,1,0
53,-415,15,920,-69,-2,-12
54,-410,14,933,-77,-22,-16
55,-404,18,921,-55,-38,-18
56,-403,25,935,-53,-45,-6
57,-401,27,911,-49,-36,-4
58,-402,22,914,-49,-18,9
59,-410,17,908,-69,19,7
60,-395,9,923,-77,31,-4
61,-403,29,934,-86,21,0
62,-417,17,947,-84,-2,-4
63,-410,13,949,-71,-22,7
64,-421,5,927,-73,-34,5
65,-410,12,926,-92,-34,11
66,-418,-7,927,-102,-38,1
67,-425,-6,928,-84,-24,-6
68,-418,-6,919,-57,-16,-14
69,-423,-9,922,-26,-28,-24
70,-421,3,926,-12,-30,-53
71,-408,6,932,-28,-30,-53
72,-421,8,919,-57,-40,-61
73,-420,5,938,-73,-45,-57
74,-430,22,931,-61,-47,-51
75,-419,26,938,-51,-45,-40
76,-424,21,925,-55,-40,-40
77,-427,11,897,-49,-30,-43
78,-419,20,916,-51,-6,-53
79,-404,22,929,-55,11,-55
80,-408,20,928,-71,9,-59
81,-406,20,938,-71,1,-45
82,-412,23,930,-71,-16,-43
83,-406,25,946,-63,-30,-20
84,-412,13,936,-43,-38,-26
85,-399,21,943,-43,-42,-42
86,-413,25,925,-73,-28,-49
87,-410,13,929,-114,-24,-47
88,-406,29,918,-116,-36,-55
89,-413,17,924,-92,-43,-49
90,-398,27,913,-47,-34,-28
91,-408,25,911,-2,-32,-6
92,-408,26,919,29,-34,5
93,-411,22,893,7,-8,0
94,-408,20,934,-34,33,-14
95,-408,26,920,-79,66,-10
96,-411,30,950,-96,64,-8
97,-409,25,955,-84,29,-4
98,-419,21,954,-79,-14,5
99,-416,10,944,-71,-51,1
100,-414,4,920,-88,-47,-8
101,-420,5,902,-116,-14,-24
102,-415,8,915,-108,11,-36
103,-408,13,916,-79,9,-28
104,-402,10,944,-40,-2,-36
105,-411,16,930,-51,-20,-34
106,-410,8,938,-92,-30,-34
