AccelerometerX,AccelerometerY,AccelerometerZ
-50,741,4210
-36,746,4205
-17,757,4186
-1,741,4164
-6,735,4173
-18,738,4195
-51,740,4187
-75,722,4177
-67,729,4176
-48,747,4162
-41,751,4141
-33,755,4141
-31,741,4147
-32,729,4157
-23,745,4157
-11,745,4165
-16,742,4161
-15,744,4175
-27,747,4190
-48,734,4182
-59,732,4174
-52,738,4175
-48,756,4175
-40,770,4172
-48,755,4168
-57,731,4185
-38,730,4208
-11,729,4208
16,735,4204
28,733,4206
18,735,4197
-24,737,4214
-47,721,4221
-59,703,4214
-56,705,4193
-49,712,4173
-38,734,4176
-39,735,4188
-24,735,4188
-7,731,4162
2,725,4171
-5,731,4186
-20,729,4184
-40,724,4192
-54,746,4184
-63,759,4175
-58,741,4180
-33,735,4187
1,733,4168
19,729,4164
14,702,4147
21,708,4149
24,736,4194
2,727,4214
-20,715,4254
5,708,4267
14,717,4270
2,724,4277
-42,705,4303
-51,676,4325
-33,681,4307
-5,710,4293
-9,691,4305
-17,681,4310
-23,678,4299
-22,684,4295
-33,673,4277
-49,688,4287
-70,708,4273
-78,712,4264
-58,715,4250
-21,702,4243
19,698,4212
53,697,4187
60,697,4180
25,700,4208
-23,678,4225
-23,689,4219
-7,715,4206
-4,727,4176
-19,715,4174
-21,719,4180
-15,744,4164
-31,751,4177
-30,737,4173
-17,727,4161
-10,720,4147
11,734,4140
4,755,4154
-14,758,4169
-11,750,4168
-5,731,4155
9,734,4115
19,744,4104
12,759,4139
27,752,4140
33,759,4131
30,774,4129
33,760,4123
48,749,4116
42,756,4129
22,771,4113
-3,788,4126
-46,786,4122
-60,777,4106
-63,776,4127
-49,761,4155
31,728,4095
90,739,4070
75,742,4112
28,729,4120
6,727,4129
17,742,4143
16,737,4159
-11,722,4162
-57,721,4199
-51,724,4191
5,743,4192
66,751,4193
93,749,4166
52,749,4174
-11,737,4204
-50,734,4243
-57,742,4264
-35,754,4248
6,746,4226
32,731,4210
35,731,4207
38,721,4216
22,734,4228
7,734,4244
-14,761,4268
-40,761,4272
-47,745,4238
-30,737,4215
-6,723,4236
53,713,4168
55,742,4144
1,756,4179
-23,735,4185
-10,722,4177
13,708,4151
10,736,4151
-12,730,4165
-21,713,4158
-29,708,4141
-16,709,4116
-4,721,4112
-15,710,4105
-36,712,4085
-58,723,4076
-53,715,4082
-31,699,4105
19,707,4109
50,721,4115
51,743,4152
35,748,4177
25,730,4193
-22,688,4224
-32,676,4243
-33,711,4254
-57,735,4291
-47,725,4300
-8,714,4317
23,732,4335
14,745,4328
-1,745,4323
-15,717,4342
-10,709,4343
33,741,4332
70,758,4309
49,772,4337
-40,758,4413
-133,734,4503
-171,764,4553
-165,830,4666
-111,863,4811
-34,879,4981
108,886,5122
184,944,5259
149,997,5430
69,1041,5641
-23,1120,5864
-39,1203,6091
-39,1252,6406
-14,1200,6614
188,1184,6648
568,1233,6577
606,1180,6620
582,1135,6651
558,1135,6594
541,1076,6499
499,942,6386
358,831,6236
319,729,5884
419,698,5413
553,721,4962
715,704,4555
877,697,4280
902,753,4031
787,851,3835
734,905,3680
649,901,3504
460,943,3346
298,875,3148
406,672,2830
806,553,2485
1304,598,2161
1823,823,1983
2235,1121,2008
2322,1398,2050
1856,1617,2064
1162,1760,2558
733,1643,2739
949,1742,2826
1763,1950,2685
2794,2091,2472
3590,2155,2517
3865,2136,2561
3644,2132,2662
3207,1973,2741
2758,1747,2758
2480,1616,2616
2369,1548,2381
2369,1521,2258
2368,1483,2152
2357,1495,2052
2398,1453,1871
2403,1403,1656
2183,1405,1579
1598,1390,1435
877,1448,1389
300,1492,1404
-7,1461,1371
100,1479,1369
469,1379,1259
779,1285,1007
802,1366,827
464,1485,850
-224,1526,1062
-877,1393,1277
-1109,1272,1329
-950,1306,1147
-720,1414,930
-737,1498,1033
-896,1273,1257
-1042,908,1356
-1371,908,1440
-1766,1069,1471
-2053,1109,1522
-2334,982,1504
-2674,867,1557
-2823,816,2060
-2718,599,2579
-2621,541,2835
-2617,755,2890
-2694,918,2881
-2823,791,3020
-2911,471,3591
-3110,81,4356
-3274,-131,4623
-3225,225,4940
-3180,403,5132
-3006,164,5082
-2682,10,4980
-2386,-94,4859
-2102,-294,5060
-2190,-561,5592
-2445,-786,6262
-2652,-851,6708
-2749,-661,6749
-2491,-364,6720
-2169,-372,6567
-1742,-731,6346
-1375,-1083,6184
-1345,-1285,6242
-1371,-1341,7101
-1474,-1464,7912
-1679,-1218,7825
-1362,-683,7652
-759,-1009,7291
-223,-1616,6988
398,-1659,6920
852,-1513,7093
938,-1428,7377
737,-1204,7620
488,-1034,7769
443,-1104,7733
727,-1308,7478
1153,-1465,7106
1526,-1486,6695
1752,-1409,6348
1854,-1275,6164
1906,-1108,6051
1919,-947,5834
1982,-814,5471
2057,-763,5021
2141,-774,4574
2295,-753,4114
2445,-635,3835
2509,-515,3559
2427,-361,3421
2205,-213,3517
1983,-167,3682
1807,-196,3620
1706,-140,3445
1688,-102,3273
1674,-148,3199
1517,-199,3252
1262,-213,3318
1058,-161,3382
912,-86,3460
711,-54,3592
511,-54,3719
444,-43,3808
445,15,3836
437,106,3816
396,162,3784
363,161,3769
311,146,3692
173,201,3659
31,284,3759
-73,321,3902
-120,314,3992
-69,313,4018
57,297,3974
192,328,3908
217,418,3944
143,436,3978
55,412,3967
-61,370,3946
-160,345,3977
-217,345,4012
-264,371,4055
-260,386,4066
-208,412,4100
-86,420,4129
44,446,4079
122,492,4015
130,502,4008
27,465,4032
-100,433,4057
-159,438,4082
-193,483,4136
-231,497,4215
-183,476,4268
-74,464,4274
12,486,4203
55,551,4224
59,540,4285
44,506,4263
3,525,4216
-64,554,4224
-103,402,4275
1,432,4227
104,464,4211
175,469,4217
188,472,4191
124,486,4195
57,492,4190
6,503,4187
-41,490,4188
-80,484,4191
-101,456,4205
-97,434,4215
-36,441,4202
38,485,4208
98,531,4202
132,509,4185
129,485,4158
83,489,4146
25,495,4154
-14,465,4157
-6,449,4167
19,488,4163
-5,525,4169
-70,510,4195
-103,486,4281
-44,465,4272
73,483,4236
152,533,4196
158,535,4174
105,517,4191
12,494,4209
-59,491,4220
-87,485,4230
-86,463,4224
-80,478,4225
-54,483,4213
-8,506,4227
31,518,4235
76,509,4237
106,509,4201
117,520,4176
124,516,4179
101,510,4198
-24,525,4241
-170,527,4293
-202,459,4289
-130,429,4264
-12,474,4210
108,511,4148
192,526,4104
209,545,4102
133,556,4151
63,537,4180
11,510,4153
-55,482,4139
-170,468,4198
-254,427,4292
-188,409,4315
-14,466,4237
151,526,4131
205,532,4095
157,507,4141
22,510,4202
-109,554,4258
-252,545,4317
-306,476,4344
-245,437,4315
-113,475,4261
69,506,4183
209,530,4123
190,561,4121
12,557,4204
-155,499,4261
-215,457,4292
-182,488,4279
-109,520,4259
-40,544,4234
-18,546,4235
17,522,4235
84,503,4186
104,511,4165
70,508,4164
-8,504,4194
-109,495,4246
-145,464,4253
-101,445,4225
-18,462,4178
51,487,4154
61,502,4140
29,506,4145
-28,497,4167
-51,478,4177
-42,490,4171
-27,480,4148
-14,470,4144
-40,468,4140
-62,456,4140
-87,488,4158
-92,506,4198
-51,494,4198
-5,500,4171
34,497,4142
13,478,4135
-20,466,4167
-69,476,4220
-112,503,4278
-118,491,4277
-95,448,4262
-69,439,4258
-17,433,4238
46,442,4210
79,469,4226
41,487,4206
-24,501,4217
-94,457,4289
-121,444,4370
-124,491,4394
-84,532,4403
-17,558,4422
8,573,4490
-50,624,4611
-101,671,4794
-175,688,5002
-212,730,5248
-171,779,5526
-59,887,5828
13,1037,6074
-29,1141,6303
-108,1160,6557
-242,1092,6820
-376,997,6996
-454,936,7114
-400,888,7148
-287,843,7106
-179,817,7014
-91,741,6843
10,657,6690
133,543,6545
247,473,6341
280,465,6169
335,386,5976
549,310,5651
819,335,5184
1120,455,4805
1369,552,4507
1495,604,4161
1566,624,3887
1450,660,3719
1356,704,3750
1452,689,3744
1716,679,3567
2105,746,3300
2550,819,3120
2852,839,2921
2932,899,2786
2559,1004,2723
1783,1096,2877
1092,1083,3042
842,1048,3120
1198,965,3003
1951,947,2718
2466,1028,2394
2553,1118,2167
2390,1120,2008
1995,1055,1934
1442,972,1866
938,993,1731
643,1162,1652
546,1339,1571
664,1444,1466
874,1463,1292
1102,1477,1035
1268,1582,729
1317,1738,491
1126,1774,467
818,1572,635
562,1351,812
353,1300,897
286,1439,877
358,1588,846
393,1552,921
370,1373,1108
307,1301,1162
48,1428,1204
-305,1476,1356
-622,1350,1558
-772,1217,1687
-759,1293,1517
-683,1619,1417
-667,1712,1476
-813,1502,1671
-955,1231,1918
-1086,996,1988
-1336,858,1948
-1581,863,2264
-1849,885,2764
-2171,909,2943
-2331,1105,2889
-2332,1266,3059
-2461,1021,3387
-2555,674,3693
-2391,474,3701
-2298,485,3563
-2285,584,3707
-2475,549,4175
-3037,485,4601
-3364,570,5204
-3530,506,5423
-3650,420,5215
-3324,359,5167
-2979,93,5105
-2731,-122,5081
-2506,-224,5371
-2843,-337,5560
-3259,-201,5966
-3473,-175,6363
-3683,-352,6443
-3445,-523,6579
-2869,-837,6470
-2183,-1062,6136
-1659,-1038,5948
-1656,-952,6054
-1904,-925,6540
-2018,-1037,7178
-1782,-1276,7485
-1375,-1299,7396
-865,-1087,7295
-436,-1051,7343
-93,-1285,7475
306,-1493,7669
575,-1503,7790
664,-1352,7725
666,-1219,7579
823,-1251,7335
1184,-1412,6867
1653,-1433,6428
2069,-1417,6020
2211,-1428,5610
2116,-1373,5234
1990,-1194,4970
1946,-991,4677
2020,-860,4286
2251,-762,3916
2523,-633,3559
2724,-428,3288
2666,-277,3054
2375,-269,3027
1935,-425,3068
1579,-598,3152
1435,-571,3210
1397,-382,3253
1422,-237,3345
1446,-209,3444
1417,-226,3463
1303,-174,3414
1053,-44,3463
724,-10,3643
412,-105,3708
179,-143,3715
87,-105,3811
179,-70,3885
311,-4,3898
374,113,3922
373,176,4030
277,131,4137
119,41,4230
-36,-67,4286
-105,-120,4249
-75,-40,4184
-36,65,4101
5,145,4041
-43,185,4113
-205,153,4198
-272,132,4265
-206,135,4276
-151,195,4298
-158,203,4268
-103,185,4215
-53,187,4205
-11,163,4139
2,145,4075
-53,189,4157
-166,173,4269
-286,180,4330
-412,212,4407
-484,201,4442
-407,177,4450
-235,161,4399
-59,158,4299
-2,205,4214
-61,264,4161
-266,307,4196
-551,278,4323
-665,159,4348
-612,131,4348
-499,163,4355
-331,165,4310
-184,197,4235
-149,222,4196
-233,235,4195
-338,214,4178
-382,165,4146
-411,119,4135
-406,78,4092
-394,141,4105
-350,220,4157
-263,227,4182
-170,229,4201
-64,227,4176
16,250,4107
17,277,4085
-112,274,4075
-348,271,4144
-569,240,4297
-631,113,4381
-524,49,4326
-320,96,4250
-123,180,4218
25,211,4169
46,249,4202
-40,252,4286
-176,218,4349
-302,212,4375
-446,216,4426
-531,177,4443
-479,120,4385
-376,132,4330
-266,187,4250
-138,218,4144
-125,239,4114
-230,221,4131
-303,208,4164
-332,219,4206
-386,250,4276
-421,211,4274
-383,194,4273
-331,186,4215
-299,189,4153
-225,171,4124
-133,147,4095
-149,161,4089
-265,177,4154
-350,177,4211
-373,207,4239
-364,224,4211
-345,239,4199
-330,226,4194
-299,229,4197
-218,215,4151
-123,188,4070
-93,192,4047
-133,202,4062
-224,220,4093
-308,232,4168
-316,200,4209
-296,200,4200
-281,220,4180
-291,227,4219
-302,194,4255
-275,188,4226
-216,206,4189
-145,220,4162
-139,238,4130
-242,267,4184
-365,261,4287
-390,207,4325
-328,213,4285
-240,245,4214
-181,245,4186
-191,223,4153
-216,234,4116
-292,270,4100
-329,255,4101
-316,218,4028
-275,205,3981
-254,237,3975
-242,250,3970
-241,239,3939
-243,251,3936
-263,264,3953
-242,289,3992
-180,308,3993
-244,311,4049
-410,319,4244
-521,327,4524
-548,368,4835
-481,478,5169
-332,555,5477
-295,602,5797
-263,635,6203
-244,605,6477
-299,600,6719
-446,607,7119
-669,565,7579
-769,527,8021
-627,475,8151
-367,508,8123
-73,530,8068
208,500,7887
441,536,7698
569,519,7500
509,425,7297
336,353,7155
126,209,7077
-28,31,7090
-29,-101,6965
192,-137,6504
475,-167,5996
797,-282,5540
971,-438,4892
854,-465,4354
692,-482,3925
632,-514,3608
766,-442,3400
1110,-357,3072
1596,-218,2751
2167,-53,2442
2551,159,2099
2491,429,2018
2135,530,2051
1822,463,1949
1893,485,1809
2438,603,1674
3221,716,1544
3806,854,1525
4051,902,1523
3861,862,1393
3095,831,1367
2145,813,1513
1426,736,1659
1258,694,1615
1471,789,1473
1694,982,1363
1581,1116,1368
1111,1114,1328
518,1194,1266
-36,1423,1236
-260,1645,1309
-179,1635,1233
56,1554,1073
207,1537,826
-67,1646,690
-635,1771,877
-1046,1676,1127
-1105,1489,1171
-887,1494,985
-757,1750,874
-682,1771,886
-629,1514,951
-816,1341,1047
-1083,1374,1230
-1146,1375,1418
-1014,1294,1466
