AccelerometerX,AccelerometerY,AccelerometerZ
-356,599,4188
-369,617,4197
-406,613,4198
-431,599,4199
-441,585,4204
-428,574,4185
-401,596,4179
-395,606,4181
-399,608,4187
-426,594,4190
-423,588,4181
-418,568,4190
-399,563,4190
-380,575,4180
-380,580,4187
-375,565,4192
-391,550,4183
-398,563,4185
-415,566,4188
-415,562,4173
-426,574,4167
-433,582,4181
-431,601,4183
-410,613,4180
-408,627,4192
-412,628,4201
-427,601,4203
-397,578,4188
-354,586,4174
-338,589,4183
-340,583,4207
-341,571,4189
-345,571,4181
-356,587,4196
-387,602,4208
-430,613,4216
-453,628,4226
-446,624,4236
-432,628,4228
-415,628,4219
-413,631,4208
-399,623,4209
-377,608,4205
-373,603,4209
-393,593,4231
-408,588,4242
-392,598,4247
-383,612,4246
-380,612,4238
-394,594,4239
-388,596,4208
-375,612,4208
-387,617,4222
-399,614,4226
-406,620,4224
-400,621,4206
-377,617,4185
-368,627,4184
-361,641,4216
-370,632,4200
-373,632,4194
-380,621,4186
-362,615,4181
-345,639,4173
-364,641,4180
-385,646,4175
-388,638,4169
-387,641,4185
-392,662,4187
-388,646,4184
-387,636,4169
-361,638,4157
-348,635,4144
-343,651,4137
-349,653,4167
-364,668,4218
-378,667,4239
-404,640,4228
-405,623,4187
-385,625,4165
-370,641,4158
-349,665,4185
-362,661,4227
-398,653,4214
-408,666,4203
-420,662,4225
-455,641,4242
-417,661,4253
-388,665,4251
-369,658,4243
-353,637,4218
-359,627,4205
-363,626,4203
-372,631,4210
-376,637,4233
-358,638,4227
-345,641,4232
-353,647,4229
-351,650,4240
-333,641,4242
-324,641,4255
-338,644,4260
-339,630,4253
-324,622,4235
-323,631,4212
-266,636,4234
-280,638,4223
-305,630,4191
-330,622,4187
-319,622,4194
-301,619,4209
-311,621,4215
-319,634,4213
-319,647,4203
-329,660,4213
-327,651,4217
-324,647,4221
-314,648,4207
-318,628,4189
-314,626,4178
-305,627,4180
-322,643,4179
-331,650,4187
-331,667,4200
-325,676,4203
-307,666,4199
-288,661,4185
-279,657,4158
-282,659,4160
-276,673,4168
-286,698,4151
-311,698,4152
-334,674,4153
-340,659,4172
-331,658,4177
-322,664,4159
-314,678,4154
-295,685,4145
-285,705,4141
-296,721,4161
-306,713,4181
-331,708,4188
-346,680,4196
-337,655,4183
-301,635,4166
-291,632,4165
-270,644,4180
-246,652,4189
-258,652,4200
-275,654,4197
-285,651,4204
-311,657,4222
-307,670,4219
-291,669,4220
-283,683,4210
-294,688,4199
-308,672,4191
-284,657,4173
-269,658,4154
-269,669,4163
-266,684,4182
-251,691,4193
-264,697,4188
-290,681,4186
-321,670,4188
-318,649,4178
-293,653,4156
-271,653,4169
-270,655,4191
-283,663,4202
-285,667,4223
-296,652,4226
-295,636,4218
-280,629,4199
-282,646,4204
-283,658,4233
-292,684,4251
-328,679,4270
-359,670,4283
-348,667,4277
-335,671,4259
-323,667,4234
-320,648,4230
-301,671,4239
-304,673,4237
-305,660,4221
-296,654,4221
-257,660,4204
-256,657,4179
-263,648,4158
-281,651,4164
-296,651,4164
-320,644,4177
-335,633,4176
-305,635,4144
-276,651,4106
-271,657,4092
-286,652,4094
-265,647,4100
-236,668,4106
-244,656,4104
-242,637,4109
-223,643,4098
-201,645,4089
-206,659,4116
-229,661,4146
-233,652,4166
-232,659,4187
-256,665,4209
-274,653,4221
-284,641,4261
-276,632,4269
-258,629,4296
-245,618,4300
-246,620,4297
-288,616,4314
-327,615,4318
-309,614,4309
-247,609,4268
-216,624,4273
-239,652,4286
-289,655,4282
-315,644,4298
-341,648,4319
-357,642,4307
-331,614,4284
-293,611,4259
-252,636,4250
-246,648,4264
-271,654,4303
-296,643,4351
-311,633,4412
-275,661,4449
-236,718,4497
-253,790,4657
-281,865,4913
-404,844,5269
-486,826,5612
-510,913,5931
-584,1046,6280
-684,1103,6734
-731,1095,7339
-712,1064,7899
-597,980,8147
-391,947,8157
-199,973,8074
-92,1110,7979
-73,1390,8032
-256,1643,8170
-593,1609,8383
-839,1394,8355
-806,1107,7995
-529,824,7428
-175,677,6801
43,700,6293
81,792,6019
14,767,5732
-73,640,5424
-173,494,5061
-216,384,4584
-200,328,4028
-184,247,3557
-214,150,3025
-153,206,2661
-60,365,2323
-3,429,1959
-11,541,1604
-68,701,1288
12,759,932
147,802,564
350,946,272
621,1141,9
872,1251,-335
997,1323,-695
1039,1346,-966
1059,1293,-1152
1146,1265,-1293
1308,1303,-1531
1440,1405,-1762
1426,1486,-1916
1360,1519,-1998
1297,1593,-1820
1196,1682,-1560
1205,1673,-1359
1263,1575,-1247
1343,1469,-1191
1461,1399,-1182
1518,1370,-1106
1466,1355,-932
1375,1264,-644
1239,1129,-371
1134,982,-170
1032,841,16
1001,714,180
938,675,405
807,740,713
573,828,1038
365,741,1281
312,426,1533
335,50,1759
349,-158,2106
121,10,2707
-402,447,3329
-952,750,3922
-1363,834,4471
-1538,764,5002
-1535,521,5356
-1200,264,5550
-935,369,5873
-1123,798,6482
-1399,1011,7375
-1648,1026,8312
-1870,1027,9154
-2010,1048,9893
-2007,1085,10391
-1855,1162,10724
-1543,1273,10843
-1107,1492,10909
-683,1609,11083
-345,1637,11347
-187,1604,11614
-53,1467,11739
57,1240,11508
134,1058,11094
195,936,10586
290,815,10031
352,844,9563
247,1060,9293
-28,1187,9077
-372,1225,9038
-677,1188,9050
-749,1040,8819
-682,739,8393
-555,367,7782
-287,15,6967
-28,-195,6206
158,-316,5544
328,-455,4897
436,-617,4247
383,-711,3720
172,-670,3232
-116,-642,2729
-406,-556,2271
-579,-412,1827
-607,-298,1333
-544,-209,760
-412,-82,309
-195,116,-152
80,345,-799
295,604,-1455
458,828,-1996
567,1000,-2303
603,1192,-2433
799,1348,-2486
822,1517,-2510
620,1763,-2415
375,1980,-2297
231,2084,-2209
230,2075,-2123
412,1989,-2061
754,1852,-2045
1033,1704,-2082
1204,1619,-2016
1344,1514,-1959
1427,1532,-1825
1437,1662,-1660
1343,1778,-1542
1142,1756,-1322
911,1555,-1095
746,1386,-898
575,1403,-596
358,1469,-245
173,1474,103
-28,1411,491
-278,1300,941
-517,1122,1359
-700,872,1770
-901,682,2147
-929,693,2439
-1001,910,2743
-1254,1163,3031
-1434,1078,3218
-1337,640,3454
-992,224,3683
-633,152,3870
-428,485,4110
-598,1031,4478
-1118,1519,4951
-1595,1675,5672
-1857,1648,6435
-2041,1625,7192
-2056,1507,7811
-1646,1566,8130
-1137,1739,8201
-1038,1726,8312
-1005,1425,8580
-842,979,9105
-767,518,9589
-733,274,9718
-707,392,9469
-863,741,8982
-1217,1032,8449
-1504,1193,8000
-1629,1314,7617
-1705,1337,7211
-1768,1248,6777
-1761,1111,6341
-1616,1029,5894
-1397,908,5465
-1136,811,5067
-912,828,4729
-816,984,4427
-808,1135,4180
-833,1118,3955
-844,1010,3782
-833,879,3706
-777,777,3664
-685,731,3635
-608,731,3591
-605,789,3554
-682,891,3612
-776,945,3686
-813,925,3722
-802,881,3785
-748,864,3853
-663,841,3878
-577,851,3865
-570,900,3862
-564,952,3820
-552,998,3828
-561,1040,3857
-576,1073,3943
-599,1053,4012
-674,992,4097
-757,975,4186
-784,953,4212
-732,937,4191
-660,945,4141
-615,963,4110
-587,952,4106
-579,930,4113
-587,917,4116
-599,918,4138
-590,932,4135
-591,954,4110
-583,990,4077
-613,1009,4072
-621,998,4092
-643,968,4107
-650,947,4099
-611,947,4083
-581,948,4090
-604,988,4112
-619,1020,4130
-610,1041,4161
-623,1020,4191
-618,980,4176
-610,940,4135
-606,917,4091
-591,927,4084
-574,985,4112
-590,1024,4145
-645,1015,4172
-681,997,4185
-688,982,4144
-640,959,4079
-600,983,4054
-581,1017,4038
-600,1046,4066
-666,1041,4120
-699,1002,4115
-698,963,4109
-651,952,4075
-597,972,4004
-572,1005,3994
-566,1040,4017
-591,1069,4041
-641,1064,4072
-690,1082,4106
