AccelerometerX,AccelerometerY,AccelerometerZ
-806,871,4132
-783,873,4121
-785,879,4133
-807,861,4141
-827,846,4133
-839,853,4122
-836,868,4138
-834,873,4150
-810,870,4147
-798,881,4133
-804,875,4115
-800,873,4120
-808,863,4121
-813,874,4135
-827,861,4128
-853,852,4116
-837,864,4115
-811,881,4125
-791,890,4118
-794,875,4121
-814,857,4130
-833,859,4117
-835,873,4134
-834,880,4121
-824,870,4117
-813,863,4118
-794,872,4101
-775,875,4104
-793,877,4127
-821,885,4132
-859,882,4137
-871,864,4143
-838,861,4151
-795,863,4150
-776,877,4131
-790,875,4129
-818,866,4135
-835,865,4134
-830,859,4144
-814,860,4140
-807,869,4134
-805,874,4131
-799,876,4146
-797,864,4136
-823,856,4148
-845,863,4157
-838,857,4164
-815,865,4155
-772,866,4132
-767,866,4121
-776,868,4129
-804,872,4137
-816,883,4138
-809,878,4127
-812,870,4132
-791,875,4126
-788,869,4124
-813,859,4132
-831,868,4143
-817,876,4136
-801,878,4122
-791,879,4124
-800,875,4133
-797,869,4127
-796,883,4118
-804,881,4115
-811,870,4108
-826,872,4106
-847,872,4116
-851,866,4121
-849,860,4125
-811,873,4115
-780,880,4114
-776,869,4105
-793,860,4116
-807,872,4127
-804,870,4122
-781,875,4114
-790,867,4117
-788,859,4125
-778,863,4116
-777,867,4122
-800,865,4117
-818,870,4121
-833,866,4148
-820,868,4147
-803,854,4155
-799,872,4145
-808,871,4150
-812,862,4150
-811,864,4156
-809,858,4160
-781,860,4160
-762,873,4139
-769,858,4144
-774,858,4161
-780,860,4157
-781,859,4154
-802,857,4142
-825,860,4147
-825,864,4154
-815,864,4134
-799,863,4121
-792,864,4128
-803,869,4148
-816,866,4157
-813,870,4149
-808,866,4155
-799,862,4164
-798,844,4150
-807,837,4135
-814,848,4133
-806,854,4129
-811,861,4133
-827,879,4130
-827,879,4144
-803,873,4152
-792,875,4157
-817,896,4178
-817,880,4187
-781,864,4174
-736,850,4149
-726,851,4140
-756,855,4152
-784,851,4159
-795,861,4154
-807,854,4144
-782,861,4122
-761,859,4113
-773,869,4111
-791,878,4112
-793,866,4109
-791,860,4114
-791,861,4117
-798,848,4115
-786,850,4097
-764,849,4084
-755,856,4084
-774,865,4093
-810,881,4106
-816,872,4100
-811,876,4102
-797,880,4101
-772,890,4096
-775,882,4115
-759,880,4113
-766,874,4111
-791,878,4108
-786,889,4126
-776,876,4123
-781,868,4115
-796,878,4122
-810,867,4136
-836,858,4136
-834,868,4147
-801,873,4153
-756,875,4143
-735,883,4138
-747,880,4140
-763,872,4143
-784,877,4144
-795,874,4142
-790,875,4146
-800,880,4141
-798,866,4130
-799,876,4123
-793,879,4127
-777,870,4128
-774,876,4130
-789,876,4143
-794,875,4137
-805,869,4136
-787,868,4133
-776,874,4120
-774,880,4132
-765,876,4135
-753,869,4120
-751,870,4119
-775,865,4136
-793,858,4141
-806,856,4150
-817,864,4149
-823,866,4141
-814,867,4135
-800,866,4141
-773,856,4129
-779,854,4120
-778,858,4120
-796,869,4134
-801,863,4120
-783,863,4113
-783,863,4119
-785,860,4119
-786,863,4112
-773,853,4115
-783,834,4112
-766,840,4103
-765,842,4098
-780,844,4093
-784,841,4100
-776,854,4093
-760,848,4079
-738,831,4066
-733,820,4081
-757,828,4097
-779,823,4097
-769,819,4088
-758,795,4086
-737,792,4070
-734,811,4093
-741,824,4103
-748,834,4124
-753,821,4153
-733,812,4194
-730,819,4236
-736,838,4287
-755,849,4389
-825,845,4506
-933,870,4686
-978,941,4940
-879,989,5188
-860,1013,5400
-874,1083,5532
-861,1161,5698
-824,1183,5901
-827,1197,6031
-877,1234,6160
-855,1291,6287
-737,1300,6396
-602,1314,6488
-542,1320,6499
-549,1341,6492
-583,1417,6528
-620,1500,6553
-705,1552,6569
-851,1587,6615
-939,1599,6653
-930,1578,6585
-870,1482,6398
-703,1379,6135
-527,1307,5776
-409,1329,5476
-374,1407,5280
-434,1521,5180
-573,1632,5103
-688,1679,5105
-637,1616,4987
-513,1572,4704
-424,1648,4530
-436,1751,4380
-449,1668,4062
-411,1394,3657
-225,1098,3153
2,968,2687
59,948,2293
-96,935,1912
-352,890,1538
-565,850,1119
-721,923,708
-851,1074,391
-912,1231,207
-814,1400,125
-615,1562,46
-295,1691,-2
45,1762,22
355,1793,66
586,1856,122
738,1965,166
872,2035,235
1022,2068,265
1055,2119,366
1100,2136,437
1089,2176,517
985,2203,599
858,2189,691
744,2182,806
664,2177,895
615,2130,970
544,2049,1036
454,1980,1119
356,1908,1154
261,1799,1131
222,1747,1170
241,1789,1193
241,1857,1261
231,1877,1382
205,1843,1483
236,1811,1643
302,1828,1771
339,1838,1821
362,1761,1946
334,1550,2038
200,1274,2078
10,964,2159
-111,752,2351
-256,803,2667
-468,1117,2939
-666,1498,3141
-890,1725,3272
-1026,1714,3485
-1084,1556,3869
-1028,1394,4318
-911,1421,4580
-816,1563,4845
-802,1635,5203
-858,1673,5543
-1017,1827,5921
-1328,2006,6287
-1715,2077,6764
-2029,1949,7269
-2302,1754,7558
-2576,1670,7698
-2776,1653,7760
-2831,1608,7773
-2709,1530,7684
-2558,1468,7490
-2454,1459,7338
-2353,1478,7199
-2226,1520,6966
-2046,1493,6679
-1877,1433,6334
-1723,1378,5993
-1591,1298,5696
-1452,1204,5380
-1362,1120,5082
-1318,1099,4732
-1339,1147,4456
-1350,1175,4277
-1284,1166,4122
-1140,1125,3993
-977,1069,3834
-834,1029,3677
-765,1010,3581
-753,1017,3550
-745,1033,3538
-757,1058,3555
-743,1098,3581
-716,1135,3596
-701,1154,3600
