AccelerometerX,AccelerometerY,AccelerometerZ
287,892,4083
407,959,4121
391,855,4106
295,875,4106
222,907,4108
241,864,4127
301,825,4147
302,813,4153
258,807,4138
244,814,4120
273,836,4099
323,861,4081
335,889,4069
282,879,4045
270,892,4034
298,887,4044
307,842,4048
335,827,4036
341,843,4030
372,873,4000
379,883,4004
361,888,3995
319,880,3973
277,884,3959
266,875,3983
277,877,3998
293,879,4001
314,869,3996
357,873,4022
338,854,4031
336,879,4019
346,902,4013
317,911,4028
323,914,4018
308,901,4031
293,884,4049
302,878,4061
291,875,4041
287,881,4052
304,887,4073
287,870,4068
339,893,4059
272,869,4073
289,904,4092
324,894,4121
324,841,4089
350,873,4092
336,892,4086
257,862,4059
222,876,4035
201,884,4037
166,867,4065
153,848,4066
167,822,4083
211,819,4104
201,817,4133
185,835,4149
211,861,4171
166,876,4222
100,859,4241
140,876,4255
148,816,4285
156,818,4278
160,827,4265
193,819,4259
229,817,4226
216,819,4189
257,853,4173
269,862,4072
286,921,3989
314,929,4004
292,922,3962
270,936,3898
280,954,3897
231,934,3883
202,950,3864
243,950,3837
298,945,3845
329,969,3847
335,981,3861
310,986,3862
322,996,3854
350,993,3876
333,994,3890
299,987,3895
306,988,3902
356,973,3917
384,969,3929
350,987,3935
294,964,3918
276,951,3913
262,957,3943
221,947,3980
210,949,3982
226,942,4020
264,933,4044
309,945,4046
355,962,4037
335,963,4039
355,958,4026
369,943,4042
377,931,4020
411,958,4028
361,937,4028
332,931,4032
311,915,4025
272,895,4021
245,903,4011
253,887,4005
270,891,3978
234,879,3961
230,880,3955
285,891,3912
286,894,3893
320,880,3888
324,896,3857
313,917,3775
322,937,3720
331,926,3673
324,889,3581
325,873,3492
327,841,3365
319,794,3230
354,759,3072
372,736,2899
351,703,2724
321,663,2567
270,600,2409
249,517,2259
164,505,2143
-104,428,2053
-162,496,1946
-35,581,1989
-162,531,2042
-234,458,2064
-112,428,2175
-45,351,2320
12,208,2378
139,119,2417
343,139,2522
462,110,2594
564,83,2641
593,125,2698
512,69,2698
362,-58,2686
134,-107,2704
-181,-176,2884
-478,-225,2992
-311,-265,3241
102,-403,3408
563,-475,3595
718,-625,3848
692,-825,4039
707,-853,4164
580,-838,4216
416,-854,4219
207,-898,4151
-65,-846,4013
-273,-805,3926
-518,-971,3992
-655,-1303,4261
-686,-1677,4474
