sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-206,-26,970,67,30,17
1,-200,-36,991,46,52,21
2,-198,-24,1002,20,32,9
3,-205,-20,994,-11,-22,11
4,-164,33,1026,-15,-67,21
5,-213,-16,1015,3,-122,35
6,-213,-21,992,10,-122,46
7,-213,-29,970,3,-79,60
8,-203,-45,979,-11,-40,50
9,-207,-43,981,-21,-24,42
10,-210,-43,969,-1,3,37
11,-203,-42,996,18,17,35
12,-199,-33,991,40,-1,27
13,-207,-35,1004,49,-24,39
14,-210,-24,988,57,-32,64
15,-207,-38,990,53,-32,68
16,-213,-46,991,14,-36,54
17,-200,-58,1000,-50,-34,33
18,-197,-36,989,-122,-30,-24
19,-199,-42,968,-154,-22,-49
20,-205,-35,981,-132,9,-26
21,-204,-34,974,-40,34,1
22,-191,-46,983,44,48,23
23,-197,-50,995,69,36,23
24,-209,-51,1009,34,25,-1
25,-212,-35,999,-44,36,-22
26,-210,-33,1003,-79,48,-28
27,-200,-42,999,-52,15,-32
28,-198,-44,984,-17,-32,-32
29,-208,-37,997,-17,-46,-34
30,-200,-51,984,-44,-16,-42
31,-195,-38,965,-85,19,-38
32,-206,-29,983,-85,58,-32
33,-207,-33,1011,-19,64,-10
34,-207,-42,1012,61,36,7
35,-208,-40,1001,81,7,-14
36,-200,-55,1005,36,5,-38
37,-214,-51,991,-31,34,-53
38,-209,-33,993,-91,71,-69
39,-197,-23,1007,-111,89,-42
40,-198,-27,987,-72,54,-28
41,-206,-32,994,-52,-9,-14
42,-202,-41,991,-40,-26,-10
43,-205,-40,981,-38,-9,3
44,-199,-54,988,-64,17,-1
45,-206,-48,972,-62,54,-30
46,-207,-49,985,-31,89,-36
47,-202,-53,986,-11,95,-22
48,-214,-46,1001,-3,101,-28
49,-209,-67,1013,-15,120,-18
50,-216,-66,1005,-56,112,-42
51,-210,-64,1024,-58,85,-61
52,-210,-66,1005,-76,52,-73
53,-220,-61,1012,-66,26,-83
54,-217,-55,1005,-66,46,-94
55,-209,-58,988,-72,67,-98
56,-211,-45,998,-70,50,-126
57,-204,-46,992,-115,32,-139
58,-205,-42,983,-159,40,-129
59,-202,-47,986,-173,42,-116
60,-206,-44,984,-150,25,-116
61,-199,-40,987,-122,-5,-106
62,-204,-43,990,-77,-11,-67
63,-217,-34,985,-13,-3,-26
64,-213,-36,999,67,26,7
65,-215,-45,998,118,52,21
66,-218,-62,978,85,52,9
67,-217,-48,989,16,64,-10
68,-215,-56,995,-38,77,-28
69,-215,-57,998,-44,71,-45
70,-216,-40,1024,-33,52,-34
71,-211,-46,1003,18,40,-4
72,-218,-44,1015,49,15,-8
73,-216,-47,1002,44,9,-14
74,-216,-43,989,34,32,-14
75,-230,-51,992,38,34,-18
76,-215,-50,1003,49,26,-8
77,-211,-45,1003,61,-5,-14
78,-217,-55,1001,42,-32,-1
79,-224,-62,998,1,-38,-14
80,-225,-55,991,-48,-32,-30
81,-220,-57,978,-91,-16,-36
82,-224,-61,979,-70,13,-47
83,-212,-54,954,-11,60,-63
84,-212,-46,988,42,97,-57
85,-216,-40,984,73,130,-32
86,-220,-36,996,116,142,-20
87,-210,-39,1010,137,103,-10
88,-199,-50,1023,106,15,-18
89,-210,-41,1011,10,-73,-8
90,-226,-55,992,-58,-100,-45
91,-230,-52,991,-126,-59,-40
92,-220,-61,952,-134,34,-38
93,-210,-63,980,-89,103,-47
94,-215,-64,986,-31,132,-42
95,-216,-55,989,-1,142,-42
96,-210,-45,1008,32,144,-34
97,-204,-50,1025,40,81,-24
98,-211,-59,1021,5,-38,-34
99,-213,-63,1014,-58,-138,-47
100,-227,-60,995,-136,-179,-63
101,-230,-64,972,-193,-157,-71
102,-230,-79,963,-191,-69,-73
103,-229,-68,943,-142,28,-69
104,-228,-61,967,-74,116,-55
105,-221,-61,987,-25,175,-44
106,-220,-58,1008,16,179,-20
107,-220,-73,1031,53,134,-16
108,-222,-65,1027,40,79,-1
109,-215,-84,1030,-1,11,11
110,-211,-71,1012,-50,-63,-28
111,-224,-71,974,-77,-87,-69
112,-220,-67,985,-91,-32,-98
113,-216,-72,970,-95,36,-141
114,-223,-51,963,-89,101,-170
115,-218,-41,971,-42,150,-143
116,-222,-25,993,32,177,-100
117,-206,-42,1015,81,155,-79
118,-212,-56,999,71,73,-88
