sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-121,-45,1002,-103,-257,-167
1,-135,-38,992,-25,-190,-137
2,-112,-62,998,38,-79,-118
3,-117,-57,1026,36,-16,-141
4,-131,-63,1037,-40,9,-196
5,-132,-33,1056,-120,32,-253
6,-147,-34,1061,-224,-3,-278
7,-135,-46,1073,-335,-69,-258
8,-135,-49,1049,-388,-159,-276
9,-143,-54,1026,-349,-225,-286
10,-151,-64,1016,-265,-231,-247
11,-136,-71,1006,-163,-200,-204
12,-136,-80,1005,-46,-140,-151
13,-129,-96,991,59,-79,-129
14,-118,-96,1001,87,-52,-141
15,-117,-99,1010,55,-59,-188
16,-106,-75,1025,-44,-58,-231
17,-106,-69,1030,-126,-81,-241
18,-87,-63,1005,-130,-136,-217
19,-104,-71,1023,-76,-206,-169
20,-111,-71,1020,-3,-249,-126
21,-110,-69,1004,85,-249,-86
22,-111,-60,1001,182,-202,13
23,-101,-80,1017,212,-134,124
24,-94,-94,1019,217,-83,121
25,-98,-91,1018,132,-89,50
26,-89,-94,1020,-48,-89,-1
27,-101,-85,1020,-165,-102,-67
28,-109,-86,1016,-216,-118,-112
29,-111,-91,1009,-218,-112,-120
30,-100,-81,1007,-185,-73,-112
31,-110,-79,1004,-154,-85,-88
32,-112,-61,1030,-101,-120,-57
33,-102,-65,1008,-72,-147,-22
34,-100,-72,988,-95,-210,-6
35,-93,-51,990,-126,-259,7
36,-85,-40,971,-134,-266,78
37,-80,-46,950,-83,-257,140
38,-77,-57,956,-36,-225,175
39,-66,-70,948,-38,-167,154
40,-65,-79,940,-52,-52,72
41,-72,-56,942,-83,79,1
42,-79,-44,984,-99,181,-1
43,-77,-43,985,-89,239,68
44,-91,-55,1018,-15,235,146
45,-93,-56,1049,61,175,214
46,-90,-65,1034,92,99,242
47,-92,-69,1026,77,17,210
48,-88,-86,1025,-40,-20,154
49,-102,-92,994,-148,-24,64
50,-93,-83,979,-261,25,-8
51,-85,-81,970,-324,91,-16
52,-80,-82,977,-312,165,11
53,-69,-83,979,-204,214,33
54,-93,-84,990,-87,210,80
55,-100,-66,1022,-17,185,138
56,-85,-71,1035,22,150,240
57,-84,-86,1025,12,95,326
58,-96,-106,1014,-5,25,328
59,-103,-112,1015,-54,-22,275
60,-114,-126,1007,-70,-18,181
61,-106,-120,995,-74,-3,78
62,-132,-109,977,-77,56,17
63,-123,-114,986,-54,179,-28
64,-115,-118,1033,-17,253,-51
65,-137,-92,1037,32,235,-59
