sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,8,4,1012,2,0,1
1,5,-6,991,-4,2,-1
2,-3,-10,1003,4,4,1
3,7,-5,999,-4,-1,3
4,6,-11,1016,-2,-1,1
5,-5,-3,1008,-2,-3,-1
6,2,-10,960,0,0,-3
7,7,-5,1002,0,0,1
8,-6,-14,1000,0,2,-1
9,2,-6,995,2,2,-1
10,5,-4,1004,0,0,-1
11,-4,-7,1007,0,0,-3
12,-3,-1,1011,-2,-3,-1
13,-1,-6,1004,0,-1,-1
14,-7,-4,1007,-4,-3,-1
15,-8,-2,1013,0,0,-1
16,-1,3,987,-2,-1,1
17,3,0,1001,-2,0,-1
18,3,-5,1002,0,-3,1
19,1,2,1009,-2,-1,-5
20,0,0,985,-4,-1,3
21,-1,-6,1006,0,2,-1
22,-6,-7,1000,0,0,3
23,-2,-8,1001,-4,-5,-1
24,2,-10,1005,-2,-3,1
25,6,0,998,-2,-1,1
26,-6,-6,998,-4,-3,1
27,1,5,996,-4,-1,1
28,11,1,987,-2,-3,-1
29,2,-11,999,-2,-5,-3
30,0,-13,1001,-2,-3,-3
31,2,-5,1004,-4,-3,3
32,-7,0,992,-2,-5,-1
33,2,15,1011,0,-1,1
34,1,3,998,0,-1,1
35,-4,-17,994,0,0,1
36,-4,-29,1003,0,2,-5
37,-1,0,988,-2,-1,-7
38,4,17,996,-2,-3,-7
39,0,0,1002,-2,-1,5
40,8,-8,995,-2,-1,6
41,-4,-8,1006,0,0,-1
42,-5,-12,1006,0,0,-9
43,-4,-6,1003,-2,-1,-3
44,1,-16,1000,-2,-1,5
45,8,-13,1015,0,0,6
46,3,-2,1000,0,4,3
47,-4,11,1004,-2,-1,-7
48,6,18,1007,0,-1,-1
49,6,-8,1003,-4,-3,1
50,2,-29,1002,0,2,1
51,5,-17,993,-2,-1,1
52,14,5,1015,-2,0,-5
53,9,11,1011,0,0,1
54,5,11,1010,0,2,5
55,-2,-7,989,0,0,5
56,2,-14,1004,-4,-5,-1
57,-3,-12,1004,0,-1,-1
58,8,-4,1004,-2,-1,-1
59,6,-8,1004,0,2,3
60,8,-8,994,-2,-1,1
61,-4,6,1016,-2,-5,3
62,0,8,1015,-2,-3,-3
63,-3,2,1013,-2,-1,-1
64,4,-14,1010,-2,-1,3
65,4,-17,1006,0,0,-3
66,11,-9,1003,-2,-1,-1
67,2,2,1006,-2,-3,-5
68,4,15,1000,-2,-3,1
69,-6,-3,1010,0,0,1
70,-3,-6,1009,-2,-1,5
71,9,-14,991,0,0,1
72,-1,-8,1003,-2,-1,-1
73,-4,2,1004,-4,-3,5
74,-2,-3,1017,-4,-3,-1
75,7,2,991,4,0,1
76,-1,-8,987,-4,-3,-3
77,-3,0,1002,0,0,-5
78,-4,-7,1000,-2,-1,-1
79,2,2,1000,-2,-3,3
80,-2,-1,1002,2,2,-1
81,0,-10,992,-2,-1,1
82,0,6,1001,0,0,-3
83,2,10,1001,2,-1,1
84,-1,3,988,-2,-1,3
85,-4,-3,998,0,0,-1
86,-8,-5,1009,-2,-1,1
87,4,3,1014,-2,-7,-3
88,-6,-7,1001,0,4,1
89,-2,1,1003,-2,-3,3
90,1,3,1006,-2,-1,1
91,0,3,1004,-2,-1,-1
92,1,-3,993,2,4,1
93,3,-7,1007,0,-1,1
94,1,-13,1007,-2,-1,1
95,2,-10,989,-2,-1,-1
96,-4,2,1000,0,0,-3
97,5,9,1001,0,-1,1
98,1,1,1005,0,-1,1
99,-1,-8,990,-2,-1,1
100,2,-6,1002,0,0,-1
101,-4,-11,1013,-2,-3,3
102,1,-4,995,0,0,1
103,5,-6,993,0,-1,-1
104,2,-1,1004,-2,-1,1
105,0,-4,1005,0,2,1
106,-4,-11,1005,0,-1,-3
107,-3,-8,999,2,0,-1
108,2,-3,1008,0,0,1
109,2,-13,1000,-2,-1,1
110,9,-4,1006,-2,-3,1
111,1,2,999,2,4,3
112,-7,8,1007,0,4,-3
113,0,-6,1001,2,0,-1
114,1,-13,1014,-2,-1,-1
115,0,0,1003,-4,-3,1
116,5,-3,990,-2,-3,1
117,-6,-2,1007,-2,-1,-1
118,6,-3,1002,-4,-1,1
119,2,-3,1010,-2,0,1
120,1,5,1006,0,-1,-1
121,2,5,1009,0,2,-3
122,8,6,1012,2,2,2
123,5,-2,999,0,0,-2
124,1,3,984,-2,-6,2
125,1,-5,1005,0,0,-4
126,-6,-3,1012,-2,-4,-2
127,-3,-6,993,2,2,-6
128,-5,-5,1000,0,-2,4
129,7,3,1007,-2,-2,-2
130,-4,-2,1006,0,-4,0
131,6,-4,1005,0,2,-2
132,5,8,998,0,0,2
133,5,3,993,-4,2,4
134,4,-6,1002,-2,-2,-4
135,1,-3,1013,-4,-2,2
136,5,5,988,-2,-4,-2
137,11,1,991,-2,-4,-2
138,4,1,1001,0,0,0
139,7,-12,1004,-2,-4,-4
140,2,0,1017,-2,0,0
141,-7,-2,998,0,-2,0
142,6,1,1005,2,2,-2
143,4,-9,1002,-2,-2,0
144,-2,-2,996,-2,-4,2
145,3,-3,1004,-2,-4,-4
146,0,-4,1004,0,0,-2
147,-7,-2,1001,2,0,0
148,3,-10,1001,0,-2,-2
149,4,-6,998,-2,-2,2
150,2,0,1005,-4,-7,0
151,1,1,1012,0,2,-2
152,2,1,1010,2,0,-2
153,-1,-6,1007,-2,-2,2
154,8,-4,989,0,2,0
155,6,4,983,0,0,0
156,8,-4,994,-4,-2,-2
157,-1,-11,988,-4,-2,-4
158,-6,-3,996,-6,-6,0
159,-1,-9,1012,-2,-2,0
160,-6,-2,1009,2,0,2
161,-7,-4,991,-2,-2,2
162,1,-8,1005,-2,2,-2
163,0,-4,1005,0,0,-4
164,-4,-7,984,0,2,-2
165,0,4,1014,0,0,0
166,-1,-2,1007,0,0,-4
167,1,0,1011,-2,-2,0
168,-5,6,1012,0,0,0
169,-7,-4,995,-4,-4,0
170,-4,-7,999,-2,-2,-2
171,5,3,995,-2,-2,-2
172,-6,-1,1003,0,6,0
173,-3,1,996,2,0,0
174,0,-6,1006,0,0,-6
175,1,-2,1013,0,2,-4
176,11,0,992,2,2,2
177,6,-9,1014,-4,-2,2
178,2,6,1006,0,0,2
179,-4,-1,993,0,0,-4
180,3,-6,996,0,2,-2
181,1,-3,998,-4,-2,0
182,-1,0,999,0,0,0
183,-4,-5,996,0,0,-4
184,1,-1,996,-2,-4,0
185,-1,0,1008,0,-2,4
186,2,-2,995,0,2,-2
187,-4,0,988,-2,0,-2
188,-2,-3,1001,2,0,-4
189,-1,-11,993,-2,-2,-2
190,-5,-4,1009,-2,-2,-2
191,8,1,983,0,0,0
192,7,-5,995,-2,-4,2
193,-3,6,1011,-2,-2,0
194,0,-6,1013,-4,0,-2
195,8,-3,999,0,0,0
196,-10,-4,1003,-2,-2,-2
197,8,-2,994,0,4,0
198,-10,-5,1007,0,0,-4
199,-10,-7,994,2,4,2
200,4,-3,1009,0,0,0
201,4,1,1007,0,2,-6
202,-4,-10,1012,-2,-2,0
203,6,-7,1005,0,2,2
204,6,1,989,0,0,-2
205,9,-4,991,0,2,-4
206,2,-3,1008,-2,-2,2
207,-4,-12,988,0,2,0
208,-6,2,1004,-2,-4,0
209,1,-11,1001,-4,-2,0
210,-3,4,999,0,2,0
211,-7,-5,999,-2,-2,-2
212,1,-2,999,0,2,-2
213,0,3,1000,0,0,2
214,1,3,1002,2,-4,-2
215,-1,4,1001,0,0,0
216,0,3,999,-4,-2,0
217,11,-4,1004,2,4,0
218,6,-5,1004,0,0,0
219,0,4,1006,0,0,2
220,9,6,984,0,2,0
221,5,-6,1007,-2,-4,-4
222,8,-5,1011,-2,-2,0
223,10,-6,1000,0,2,-2
224,8,-4,999,-4,-6,-4
225,-1,-2,1002,0,-4,-4
226,7,-4,1001,-2,2,-2
227,3,-6,981,0,2,2
228,3,2,1004,-2,-2,0
229,-4,0,1006,0,0,-2
230,12,8,1005,0,-2,0
231,9,-9,1005,-2,-4,0
232,-3,5,1001,4,0,-2
233,-2,1,1001,-2,-2,-2
234,8,-2,1005,0,0,-2
235,-3,-8,1000,-4,-2,0
236,5,2,1000,-2,-2,0
237,-4,-3,992,-2,-2,-2
238,4,-8,1008,0,2,-4
239,-4,-2,1007,-2,2,0
240,-1,-1,993,-2,-2,2
241,2,0,1004,4,0,-4
242,6,-7,1008,-2,-4,-2
243,6,5,1003,-4,-4,-2
244,4,-3,995,-2,-4,-2
245,4,-5,996,0,0,-2
246,-12,0,1010,-2,-4,-2
247,5,-8,993,-2,-2,-2
248,8,-2,992,0,0,-8
249,2,0,1000,0,0,-4
250,5,-12,999,-4,-2,-2
251,2,-7,1013,0,-2,-2
252,3,-2,1010,-2,0,-4
253,7,-3,995,-2,-4,-2
254,2,-1,998,-2,-4,-4
255,-7,-4,1007,2,0,-2
256,-1,-5,996,2,0,-2
257,3,-4,1008,0,-4,-2
258,3,-6,995,-6,-2,2
259,1,-9,1006,-2,-2,-2
260,2,-2,999,-2,-4,0
261,-2,-3,987,-2,-2,-2
262,3,-11,1011,0,-2,-2
263,-3,-5,1010,0,0,-2
264,-3,-3,1014,-4,-6,-2
265,-1,-4,990,0,0,-2
266,0,-4,996,0,0,-2
267,16,-2,989,-2,0,-4
268,4,2,1006,0,0,2
269,4,-5,1001,0,0,0
270,5,4,997,-2,-2,0
271,-1,0,1001,-4,-2,0
272,-4,1,1008,0,2,-4
273,6,-3,1010,-2,-2,0
274,1,0,1010,-2,-2,2
275,4,-5,994,0,0,-2
276,8,-3,1007,-2,-4,0
277,-4,0,1001,0,-2,-4
278,6,2,988,-2,-4,-2
279,2,-7,996,2,2,0
280,10,-3,986,-2,-4,-2
281,-7,0,1008,2,0,-2
282,-2,3,1025,-2,-2,-2
283,4,-6,1027,-2,-2,0
284,4,-5,1004,2,0,0
285,-7,1,1008,-4,-2,0
286,0,-1,1004,-2,-2,-2
287,-2,1,1010,-4,-2,0
288,1,-3,998,0,0,-2
289,8,-11,1004,2,-2,-2
290,-5,0,1004,-4,-6,0
291,-8,0,1000,-2,0,-2
292,-2,8,1009,-2,-4,0
293,6,3,998,0,2,4
294,1,-9,1022,2,0,-4
295,-3,-2,992,0,-2,-2
296,9,-4,1005,-2,-2,0
297,3,-8,1009,-2,0,2
298,-5,-7,983,0,-2,0
299,5,-4,994,-2,0,0
300,-4,-3,1008,0,-2,-2
301,-3,-6,1001,0,0,-2
302,4,-1,994,2,2,0
303,2,-4,1003,2,0,-4
304,-3,8,1008,2,2,0
305,3,-9,998,-2,-6,-2
306,-1,-11,1005,0,0,-2
307,-4,4,1004,0,0,-2
308,2,-2,1013,-2,-2,2
309,-2,3,1008,-4,-2,-4
310,-2,3,1020,-4,-2,0
311,2,-8,996,0,4,-4
312,2,-5,999,2,-2,0
313,4,-2,1011,-2,-2,-2
314,1,-5,1013,-2,-4,-2
315,3,-6,992,-2,-2,-2
316,4,3,991,0,-4,0
317,-7,-7,1000,-2,-4,0
318,3,-3,1010,-4,-2,0
319,-5,-6,1005,4,0,-2
320,-4,3,986,-2,-6,0
321,-5,-7,1003,-2,-6,-2
322,-6,2,1000,0,0,-2
323,5,-2,991,-2,0,-6
324,7,-3,1001,-2,0,-2
325,-4,2,1005,0,0,0
326,0,7,990,-2,-2,0
327,8,1,986,0,2,-4
328,-4,-9,1012,-2,-4,0
329,2,-2,995,-2,-4,0
330,2,-7,1003,0,-2,-4
331,-5,-3,1012,0,0,0
332,6,-1,1008,0,-2,2
333,3,3,1004,0,-2,-4
334,-4,-7,1004,-2,-2,-2
335,-6,1,1005,2,0,-2
336,2,2,1006,-2,-6,-2
337,12,-1,998,2,0,2
338,-10,-2,991,2,2,-2
339,4,-11,1006,-2,-2,-2
340,-10,-13,1002,-2,-2,-2
341,2,-6,988,-2,-2,-2
342,-9,-3,1014,2,2,0
343,5,-7,995,0,2,-2
344,-1,-2,999,2,0,-2
345,5,-6,1004,0,-2,-2
346,-2,0,1007,0,0,-2
347,-2,1,1020,0,2,0
348,9,2,1012,0,0,-4
349,4,-4,1004,0,0,-2
350,3,-8,1001,-2,-2,-2
351,9,-7,1003,-4,-2,0
352,5,-2,1005,0,2,2
353,1,-11,998,-2,-2,-2
354,11,-9,1001,-2,-2,4
355,-2,-2,1005,-2,-4,-2
356,1,-7,1001,-2,-4,0
357,4,-8,995,-2,-4,-4
358,-3,-2,1014,0,0,0
359,-9,9,1002,2,2,-4
360,-2,-2,989,-2,-2,-4
361,5,-2,1005,4,0,0
362,-2,4,1009,-2,0,-2
