sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-9,-4,1008,-3,-1,3
1,2,-3,1000,-1,-1,-3
2,-10,10,1008,-1,-1,-1
3,-10,-4,995,-1,-3,3
4,-13,-3,1018,1,1,-1
5,1,-9,1002,-1,-1,-3
6,-8,-3,985,-5,-1,-1
7,-5,-9,990,-1,-1,-5
8,-3,-1,993,-1,-5,1
9,-3,-5,1005,-3,-3,3
10,-4,0,1006,-1,-1,1
11,-11,-2,1012,1,3,-1
12,-10,2,1011,-1,-1,1
13,1,-3,995,-1,-1,1
14,-6,-6,1012,1,-1,-3
15,-1,-13,1011,-1,-3,-1
16,3,3,1016,-1,-3,-1
17,-10,-8,988,-1,-3,-3
18,-10,0,1002,-1,-3,-1
19,-10,1,1007,-1,-5,1
20,0,3,1007,-1,-1,3
21,-7,-6,997,-1,-5,-1
22,-6,-2,1001,-1,-3,3
23,-4,-13,1010,-3,-1,1
24,2,-7,1001,-1,-1,3
25,1,-4,1008,-1,-1,1
26,-3,2,995,-1,-3,1
27,-3,2,1016,-1,-1,1
28,-1,6,993,-3,-1,-1
29,-8,-1,1007,-1,-3,3
30,-14,6,1008,1,1,1
31,-6,-7,988,-3,-1,1
32,-4,-1,995,-1,-1,7
33,-8,-2,998,-3,-1,-3
34,-12,10,1000,-1,-3,-1
35,-9,-3,1001,-1,-5,1
36,-6,8,1005,-1,-3,3
37,171,-27,1194,1,7,-1
38,66,-37,1003,1,9,-5
39,32,-41,895,-1,-3,-3
40,-37,6,957,-3,-3,1
41,-10,8,979,-1,-3,1
42,-13,10,994,1,-1,1
43,-6,2,1028,-1,-3,-5
44,-6,-4,1004,-1,-5,-3
45,-1,-3,1002,-3,-1,-3
46,-15,-13,984,-5,-1,1
47,0,0,988,1,1,1
48,0,-2,1016,1,1,1
49,-9,-4,1000,1,1,-3
50,1,-5,1000,1,3,1
51,-8,-3,982,-1,1,1
52,-4,-4,1001,-1,-1,1
