AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
-110.0,985.0,3652.0,-97.0,-35.0,-48.0
-187.0,1034.0,3478.0,-75.0,120.0,-48.0
-290.0,1038.0,3361.0,-19.0,170.0,-54.0
-645.0,1033.0,3497.0,45.0,249.0,-42.0
-569.0,1235.0,3691.0,30.0,353.0,-13.0
-262.0,1040.0,3594.0,9.0,395.0,30.0
-131.0,1118.0,3546.0,-4.0,316.0,67.0
-158.0,1035.0,3630.0,-9.0,168.0,108.0
-156.0,1006.0,3563.0,67.0,-137.0,135.0
-160.0,996.0,3580.0,47.0,-417.0,134.0
-158.0,977.0,3734.0,-41.0,-636.0,144.0
-170.0,933.0,3792.0,-24.0,-785.0,124.0
-224.0,954.0,3753.0,-84.0,-667.0,136.0
-258.0,960.0,3741.0,-129.0,-511.0,108.0
-273.0,931.0,3631.0,-68.0,-382.0,85.0
-276.0,961.0,3586.0,-76.0,-302.0,93.0
-236.0,953.0,3663.0,-93.0,-189.0,106.0
-121.0,940.0,3664.0,-42.0,-114.0,101.0
-57.0,933.0,3692.0,12.0,-93.0,108.0
-14.0,928.0,3681.0,8.0,-127.0,121.0
-32.0,955.0,3690.0,42.0,-239.0,118.0
-53.0,951.0,3701.0,37.0,-358.0,108.0
-4.0,977.0,3702.0,19.0,-436.0,112.0
89.0,975.0,3695.0,82.0,-396.0,138.0
72.0,978.0,3621.0,90.0,-375.0,139.0
-155.0,996.0,3528.0,75.0,-323.0,134.0
-119.0,1014.0,3551.0,64.0,-257.0,120.0
0.0,1018.0,3661.0,85.0,-164.0,94.0
127.0,985.0,3688.0,71.0,-113.0,70.0
154.0,1005.0,3605.0,61.0,-182.0,57.0
117.0,999.0,3589.0,66.0,-343.0,57.0
-26.0,1011.0,3579.0,67.0,-541.0,50.0
-90.0,1000.0,3647.0,40.0,-671.0,38.0
-92.0,985.0,3620.0,0.0,-655.0,36.0
-79.0,1008.0,3594.0,27.0,-573.0,24.0
14.0,981.0,3660.0,33.0,-430.0,0.0
119.0,957.0,3668.0,-7.0,-290.0,-7.0
186.0,986.0,3698.0,-20.0,-227.0,-8.0
175.0,994.0,3709.0,-41.0,-224.0,-2.0
154.0,1015.0,3692.0,-14.0,-338.0,-11.0
131.0,1024.0,3702.0,-21.0,-436.0,8.0
52.0,1018.0,3672.0,-59.0,-448.0,28.0
-10.0,1016.0,3623.0,-17.0,-416.0,20.0
-39.0,1013.0,3668.0,-6.0,-304.0,24.0
9.0,980.0,3664.0,-14.0,-162.0,26.0
103.0,1023.0,3662.0,-11.0,-73.0,0.0
191.0,1044.0,3641.0,-26.0,-164.0,11.0
95.0,1025.0,3547.0,7.0,-251.0,15.0
32.0,1043.0,3579.0,17.0,-261.0,10.0
28.0,1029.0,3584.0,2.0,-194.0,11.0
108.0,1009.0,3596.0,6.0,-98.0,-2.0
