sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,1,-6,1006,-1,-5,0
1,-9,-8,988,-1,1,0
2,-13,1,1001,-1,1,2
3,-8,-4,1031,-3,-3,-3
4,-3,0,1007,-1,-1,-3
5,8,-11,992,1,1,-3
6,-2,-11,1005,-1,-1,0
7,-2,-13,978,1,1,-1
8,2,-5,996,1,-1,-3
9,7,2,1005,5,3,0
10,4,-13,999,-1,-1,6
11,-8,-5,996,1,1,4
12,-15,-17,1011,3,1,-3
13,-6,-14,1000,1,1,-3
14,-12,-14,1007,-1,-5,2
15,-1,-12,1006,-3,-1,0
16,-6,-3,999,-3,-3,2
17,8,-9,1009,-1,-5,0
18,4,-3,1007,-1,-3,0
19,-1,-2,999,-1,-1,0
20,-19,-12,1002,-1,-1,0
21,-3,-12,1004,1,1,0
22,-8,-16,1008,-1,-1,-1
23,4,-12,992,-3,-1,-1
24,4,-4,997,1,1,0
25,-11,-1,1007,-1,-1,0
26,-7,-5,1008,-1,-1,0
27,4,-8,1010,-1,-3,0
28,0,-14,1007,1,-1,-3
29,-2,-17,1001,-1,-1,0
30,-11,-8,1009,1,-3,0
31,-3,-12,1007,1,1,2
32,-6,-3,1006,1,1,-3
33,-5,-3,1005,-3,-5,-3
34,2,-4,1008,-1,-1,-1
35,-2,-14,1013,1,3,4
36,-13,-13,1003,-1,-1,-1
37,0,-11,1004,-1,-1,-1
38,2,-8,1008,1,1,0
39,4,-7,1007,1,3,0
40,-6,-12,999,-1,-1,-3
41,-3,-17,1003,1,3,-3
42,-7,-12,1001,-1,1,-1
43,-3,-5,1005,1,1,-1
44,-1,-4,1017,1,1,-1
45,7,-9,1014,-3,-3,2
46,-7,-12,1011,-3,-3,0
47,-2,-8,997,1,3,-3
48,-2,-6,999,-3,-1,0
49,-3,-7,998,3,1,-1
50,-13,-9,989,1,-1,2
51,1,-3,1006,-1,-7,2
52,-5,-15,1014,1,-5,-19
53,1,-7,1011,1,-3,-1
54,20,11,995,-3,-3,-3
55,96,76,1005,3,-13,-273
56,119,82,1014,-7,-1,-988
57,16,38,998,8,-18,-1669
58,-89,-86,1023,-7,-9,-1628
59,-136,-94,987,-1,3,-939
60,-7,-5,1022,16,-20,-93
61,10,2,1015,10,-16,2
62,6,3,1008,3,-3,-1
63,2,-9,1000,3,-3,0
64,-6,-9,998,-9,3,0
65,-9,-7,1015,-11,17,0
66,2,-14,1030,-3,9,2
67,-4,-3,1002,3,1,-1
68,-2,-6,1010,3,-5,0
69,-12,-8,1016,1,-5,2
70,-3,-18,1017,-1,1,0
71,-3,-10,1000,-5,5,-3
72,4,-9,1002,-1,3,0
73,-5,-8,996,-3,-3,-3
74,-10,-8,1027,1,1,-1
75,4,5,1008,-3,-1,-1
