sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-183,-325,902,420,302,-138
1,-187,-336,925,149,29,-275
2,-189,-344,961,-135,-332,-375
3,-203,-345,995,-301,-655,-427
4,-219,-365,997,-258,-807,-480
5,-236,-358,1013,-158,-731,-464
6,-245,-362,1014,47,-500,-423
7,-251,-337,1004,410,-71,-414
8,-264,-350,971,559,373,-347
9,-273,-346,975,541,601,-310
10,-286,-332,1004,408,597,-377
11,-290,-327,1075,244,351,-369
12,-287,-376,1083,287,29,-556
13,-328,-354,1102,508,-118,-611
14,-360,-341,1107,826,-51,-539
15,-357,-314,1094,1268,248,-418
16,-313,-300,1048,1758,689,-261
17,-264,-323,1069,1992,1066,-128
18,-254,-313,1035,2035,1113,-212
19,-367,-280,1009,2147,908,-449
20,-443,-248,996,2182,587,-546
21,-439,-251,1001,2160,253,-392
22,-440,-238,1013,2240,85,-216
23,-451,-244,1020,2334,230,-115
24,-398,-177,1020,2389,435,49
25,-279,-145,1022,2568,750,51
26,-148,-121,1028,2875,1253,96
27,-167,-86,1000,2981,1652,-45
28,-270,-4,1017,2930,1755,-459
29,-433,-7,1078,2676,1726,-816
30,-482,105,1055,2729,1636,-851
31,-443,150,1016,3176,1072,-851
32,-348,104,965,3652,726,-771
33,-309,113,970,3951,904,-552
34,-254,98,973,3906,1359,-578
35,-234,73,949,3789,1966,-761
36,-292,164,877,3768,2433,-939
37,-356,222,738,3649,2507,-1339
38,-439,268,665,3479,1472,-1787
39,-482,293,744,2781,341,-2002
40,68,347,136,1697,-86,-1816
41,-522,72,767,-5736,2462,-2136
42,-241,-82,908,-4680,162,-1658
43,-348,-523,833,-5738,2,-1195
44,-289,-145,954,-7217,566,-1638
45,-491,-77,903,-8174,693,-1037
46,-408,-175,869,-8785,439,-1642
47,-367,-299,685,-10582,-1457,-2443
48,-473,-479,649,-11982,-2586,-2105
49,-462,-570,839,-11576,-2881,-1673
50,-369,-605,987,-10976,-2856,-1396
51,-318,-577,1004,-9381,-2827,-1316
52,-287,-561,1021,-6742,-2522,-1062
53,-308,-542,1022,-3498,-1930,-683
54,-370,-535,969,-463,-1497,-375
55,-223,-467,918,1856,-1319,-634
56,-179,-313,871,3172,-1393,-884
57,-245,-175,797,3891,-1594,-1888
58,-333,-179,799,4356,-1524,-2992
59,-383,-225,862,4287,-995,-3074
60,-291,-486,977,2981,-926,-3232
61,-230,-571,1010,2785,-1286,-3277
62,-293,-448,938,3008,-1479,-2878
63,-292,-265,925,3322,-1465,-2050
64,-269,-161,814,3424,-924,-834
65,-212,-61,788,3190,-627,178
66,24,-81,669,2291,-1135,305
67,119,-249,851,705,-1918,-277
68,73,-419,1138,834,-1774,-750
69,125,-501,1098,1402,-1827,-890
70,101,-417,1006,2055,-1756,-1123
71,32,-291,966,2098,-1899,-1418
72,-23,-268,952,2326,-1797,-1339
73,-31,-435,1084,2744,-1500,-994
74,77,-386,939,3272,-1069,-851
75,-70,-217,977,3848,-252,-839
76,-77,-173,983,4084,-139,-574
77,-27,-105,887,4734,-241,-425
78,-217,-214,949,4789,-620,-556
79,-261,-43,916,4279,-1051,-1269
80,-298,-33,974,3379,-1586,-1480
81,-339,-94,1003,2951,-3137,-1574
82,-423,-184,1010,3027,-4952,-1361
83,287,215,1504,2811,-5985,-554
84,234,-23,2048,190,-1120,-175
85,-390,-62,255,80,10318,-3648
86,1039,-590,-305,-2826,7896,-5640
87,128,-301,944,-1008,3212,-1298
88,-21,-131,1157,772,2802,-1615
89,1,-45,1084,-308,1787,-2216
90,-132,70,1098,-891,1685,-2050
91,-27,-41,1085,-1154,1207,-1580
92,-25,-34,1029,-1613,359,-1115
93,-37,-67,936,-1988,58,-593
94,-55,-93,897,-2133,105,247
95,-53,146,1045,-2189,490,815
96,-139,32,1185,-4144,1021,116
97,-212,-103,1156,-6875,1660,-377
98,-223,-156,1043,-7892,1652,-521
99,-241,-175,947,-7523,1119,-478
100,-78,-167,905,-6676,19,198
101,-28,-248,786,-4980,-764,1147
102,-111,-342,655,-3396,-1528,1961
103,-528,-613,424,-2553,-2481,2903
104,-48,-433,944,-3137,-4922,4760
105,513,-533,865,561,-1020,5108
106,-115,-351,1105,2539,414,3383
107,-120,-366,977,22,-809,2491
108,-157,-327,930,-762,-805,1991
109,-131,-307,946,-754,-207,1637
110,-27,-403,863,-476,119,741
111,-41,-440,873,137,46,397
112,-117,-358,860,836,-508,383
113,-130,-359,799,1602,-360,743
114,-58,-408,892,1434,578,1262
115,-78,-557,939,992,1207,2082
116,-164,-290,883,154,1933,2840
117,-111,-304,963,-414,2478,4090
118,-83,-251,978,-156,2074,4961
119,-304,-294,1000,1152,1242,5159
120,-497,-319,1097,2151,294,4655
121,-495,-377,1219,2422,334,3530
122,-514,-391,1283,1885,656,2497
123,-436,-416,1169,1166,908,1426
124,-358,-350,993,756,1093,811
125,-282,-265,955,1072,1160,768
126,-263,-256,924,1535,1386,823
127,-222,-217,922,2168,1043,832
128,-232,-182,971,2526,515,934
129,-236,-265,984,2633,205,784
130,-318,-161,983,2852,-432,571
131,-341,-78,896,2858,-473,774
