sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,284,-9,977,153,-20,-81
1,277,-12,991,99,-3,-81
2,282,-2,984,28,9,-60
3,278,-5,986,-24,1,-31
4,277,4,976,-55,-15,-5
5,268,-4,978,-48,-26,10
6,272,-14,975,-13,-36,10
7,277,-8,980,21,-17,-13
8,283,-14,977,38,1,-38
9,275,-20,980,23,-9,-31
10,268,-16,964,-9,-19,-9
11,270,-5,957,-55,-7,1
12,266,-24,961,-75,32,10
13,264,-23,974,-52,62,3
14,269,-25,968,-30,65,-19
15,274,-31,961,19,52,-38
16,270,-29,977,48,40,-64
17,270,-27,980,32,21,-72
18,267,-27,965,-5,9,-66
19,272,-31,966,-26,15,-46
20,266,-33,956,-38,28,-62
21,251,-35,954,-36,52,-79
22,245,-32,951,1,77,-95
23,252,-32,960,13,95,-115
24,254,-37,966,-11,112,-117
25,255,-24,971,-50,128,-117
26,256,-29,976,-61,138,-117
27,246,-26,964,-61,132,-124
28,255,-36,988,-67,126,-140
29,264,-33,995,-93,118,-144
30,266,-31,987,-136,97,-148
31,263,-22,996,-179,101,-124
32,254,-27,1000,-206,118,-99
33,264,-41,974,-214,132,-85
34,263,-41,969,-218,116,-79
35,251,-46,941,-235,87,-74
36,254,-68,937,-268,108,-68
37,245,-67,920,-348,120,-64
38,244,-65,914,-423,134,-48
39,238,-68,896,-475,153,-48
40,238,-73,897,-458,226,-50
41,259,-83,887,-372,308,-52
42,265,-91,885,-255,362,-85
43,256,-111,877,-136,349,-146
44,251,-110,901,-40,323,-185
45,247,-115,894,-5,337,-234
46,248,-120,916,-7,382,-333
47,246,-114,928,-40,425,-419
48,249,-108,935,-95,435,-466
49,258,-85,961,-155,419,-464
50,262,-82,964,-196,417,-454
51,254,-83,981,-243,403,-443
52,256,-92,985,-237,415,-456
53,231,-77,993,-233,386,-480
54,254,-75,989,-268,335,-527
55,255,-75,979,-327,317,-576
56,227,-48,986,-382,306,-597
57,215,-31,1000,-425,337,-570
58,232,-17,1016,-440,403,-540
59,215,-9,1031,-432,448,-531
60,230,2,1056,-376,466,-519
61,249,8,1061,-315,468,-511
62,243,6,1065,-251,442,-511
63,231,3,1099,-198,399,-499
64,223,12,1100,-159,362,-468
65,225,4,1099,-184,335,-425
66,200,0,1102,-255,300,-380
67,204,3,1093,-311,274,-335
68,206,7,1101,-347,269,-302
69,205,15,1108,-356,228,-308
70,192,26,1094,-341,153,-316
71,193,21,1080,-263,120,-294
72,196,25,1062,-173,95,-265
73,194,14,1058,-116,89,-259
74,192,-2,1065,-91,99,-287
75,209,1,1087,-97,93,-288
76,195,-5,1069,-132,58,-277
77,194,-2,1056,-192,9,-255
78,202,-8,1042,-231,-17,-224
79,200,-10,1027,-237,-52,-197
80,207,-4,1011,-229,-83,-183
81,209,-3,1001,-233,-101,-173
82,214,-16,988,-229,-102,-163
83,220,3,973,-231,-95,-163
84,205,15,983,-259,-77,-169
85,197,11,972,-274,-48,-132
86,217,8,969,-255,-5,-74
87,221,8,964,-196,28,-42
88,224,4,975,-116,58,-54
89,227,-9,975,-32,85,-60
90,229,-17,1001,36,87,-60
91,225,-27,999,62,65,-48
92,239,-23,1008,44,54,-37
93,235,-25,995,36,56,-23
94,221,-28,996,27,60,-9
95,222,-22,1007,36,65,5
96,225,-32,985,56,89,8
