sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,108,-22,1017,19,-6,-22
1,102,-26,1009,-10,-8,-10
2,99,-21,1003,-47,-14,5
3,101,-24,990,-77,-24,21
4,94,-19,987,-83,-16,46
5,99,-21,972,-69,-2,46
6,103,-18,981,-53,5,25
7,102,-25,978,-28,25,3
8,87,-35,978,-10,41,0
9,101,-27,979,-12,41,-4
10,94,-21,986,-98,80,25
11,96,-30,989,-61,58,3
12,85,-22,987,-110,105,39
13,92,-22,994,-90,128,56
14,108,-27,1000,-38,132,60
15,109,-45,1007,-12,101,33
16,100,-45,1002,-8,66,11
17,105,-32,1005,-32,42,21
18,101,-33,998,-49,58,37
19,107,-33,1019,-55,89,42
20,100,-27,1011,-61,132,15
21,103,-32,1027,-34,154,-8
22,107,-35,1044,-8,160,-26
23,103,-32,1054,3,146,-30
24,116,-28,1059,-2,89,-36
25,100,-26,1051,-24,33,-26
26,106,-31,1067,-34,9,-8
27,108,-42,1049,-49,0,3
28,109,-37,1049,-57,-16,0
29,106,-31,1040,-69,-14,-12
30,111,-36,1029,-77,-8,-12
31,103,-34,1042,-88,9,-12
32,99,-35,1047,-90,-2,-20
33,112,-25,1043,-90,9,-16
34,117,-22,1051,-92,-14,-20
35,94,-25,1038,-63,-55,7
36,102,-18,1054,-79,-24,5
37,106,-20,1035,-43,-61,25
38,106,-32,1021,-45,-59,15
39,100,-29,1023,-75,-90,-4
40,97,-35,1028,-100,-73,-26
41,95,-36,1009,-96,-79,-18
42,92,-32,1009,-92,-75,-14
43,92,-35,1005,-79,-84,-8
44,98,-44,1005,-102,-94,-22
45,101,-27,1006,-118,-120,-34
46,91,-30,985,-149,-104,-43
47,87,-21,988,-161,-75,-30
48,97,-32,972,-135,-53,-30
49,108,-39,975,-129,-34,-45
50,95,-29,984,-94,-49,-63
51,99,-16,988,-71,-49,-71
52,117,-26,975,-24,-26,-79
53,97,-23,979,-43,-42,-77
54,102,-28,977,-22,-10,-88
55,107,-17,984,1,11,-98
56,109,-20,989,-2,15,-100
57,117,-22,980,-28,15,-92
58,106,-7,973,-73,5,-83
59,99,-1,999,-120,19,-57
60,94,-3,999,-124,42,-26
61,97,-13,1001,-88,80,7
62,102,-14,998,-49,109,17
63,112,-37,996,-12,93,0
64,103,-34,1002,-2,83,-30
65,97,-38,994,-24,87,-42
66,94,-36,990,-81,113,-36
67,103,-38,1000,-127,130,-28
68,102,-35,1005,-143,156,-45
69,110,-27,1011,-124,152,-67
70,111,-27,1032,-67,132,-79
71,107,-24,1050,17,85,-83
72,100,-34,1030,64,58,-71
73,103,-36,1020,58,82,-69
74,100,-41,1030,39,130,-67
75,104,-39,1041,-10,166,-73
76,108,-37,1046,-71,156,-69
77,110,-28,1061,-92,144,-55
78,104,-28,1049,-77,126,-73
79,103,-23,1049,-14,123,-98
80,104,-19,1042,29,138,-108
81,119,-23,1063,7,152,-137
82,115,-26,1091,-55,212,-145
83,130,-11,1129,-157,287,-79
84,169,-8,1138,-276,312,-65
85,174,-15,1183,-292,273,-75
86,191,-8,1256,-211,277,-135
87,192,5,1326,-47,238,-202
88,206,14,1425,156,193,-254
89,230,27,1511,326,91,-288
90,237,39,1602,474,-96,-249
91,260,16,1660,585,-331,-145
92,264,-29,1700,617,-536,-90
93,293,-56,1751,611,-616,-77
94,314,-37,1869,597,-508,-170
95,319,26,2008,650,-317,-434
96,327,102,2048,808,-163,-731
97,337,156,2048,1158,-209,-917
98,346,188,2048,1556,-454,-934
99,356,196,2048,1744,-930,-831
100,311,175,2048,1699,-1750,-586
101,253,147,2048,1376,-2719,-215
102,206,92,2048,888,-3659,193
103,143,34,2048,427,-4381,468
104,56,17,2048,154,-4836,460
105,10,2,2048,25,-5200,361
106,-18,6,2048,50,-5516,285
107,-47,6,2048,218,-5838,134
108,-79,1,2048,480,-6180,-12
109,-142,0,1976,705,-6477,-153
110,-204,3,1871,826,-6766,-235
111,-266,-4,1748,757,-7073,-209
112,-326,-28,1589,480,-7500,-34
113,-383,-52,1382,-34,-8055,267
114,-467,-96,1168,-655,-8584,546
115,-533,-132,929,-1155,-8918,660
116,-576,-168,656,-1475,-9016,607
117,-584,-148,406,-1614,-8918,416
118,-587,-108,161,-1616,-8608,29
119,-552,-76,-83,-1461,-8184,-379
120,-528,5,-352,-1211,-7606,-698
121,-499,114,-654,-1030,-6934,-977
122,-444,253,-965,-961,-6221,-1108
123,-407,397,-1204,-840,-5491,-1204
124,-382,510,-1446,-711,-5077,-1180
125,-333,546,-1726,-561,-4583,-897
126,-312,551,-1886,-73,-3643,-604
127,-275,540,-1951,638,-2395,-442
128,-164,542,-1975,1291,-1108,-333
129,-77,536,-1938,1720,-141,-286
130,-17,560,-1857,1970,417,-161
131,-52,512,-1792,1994,925,64
132,-108,463,-1713,1917,1511,378
133,-164,361,-1588,1833,2167,673
134,-208,249,-1414,1826,2871,847
135,-221,175,-1256,1833,3554,857
136,-257,109,-1058,1814,4130,750
137,-266,72,-869,1707,4564,636
138,-264,44,-704,1404,4847,578
139,-251,-3,-571,949,5005,580
140,-263,-44,-462,417,5123,708
141,-321,-78,-372,-157,5353,910
142,-348,-109,-252,-750,5593,1041
143,-404,-121,-118,-1280,5921,1195
144,-475,-133,56,-1561,6246,1376
145,-505,-167,223,-1616,6556,1500
146,-530,-236,344,-1454,6804,1615
147,-552,-293,476,-1024,6947,1666
148,-581,-312,607,-469,7013,1552
149,-522,-337,758,156,7011,1261
150,-499,-280,911,679,7093,832
151,-550,-282,1062,1007,7386,460
152,-523,-270,1281,1210,7744,185
153,-495,-186,1505,1078,8246,-36
154,-433,-89,1782,707,8673,-165
155,-334,6,2048,386,8738,-186
156,-255,135,2048,50,8466,-34
157,-202,176,2048,-278,7898,300
158,-170,122,2048,-456,7183,800
159,-105,74,2048,-590,6550,1150
160,-30,-4,2048,-770,6060,1296
161,38,-53,2048,-852,5658,1294
162,101,-57,2048,-770,5410,1060
163,210,-9,2048,-606,5166,652
164,286,98,2048,-331,4814,250
165,395,234,2048,103,4294,-77
166,503,318,2048,593,3796,-280
167,546,388,2048,953,3246,-297
168,550,358,2048,886,2150,23
169,542,274,2048,443,486,605
170,506,147,2048,-147,-1311,1046
171,407,55,2048,-674,-2704,1144
172,316,9,2048,-1016,-3940,1146
173,222,-44,2048,-1028,-5102,1029
174,110,-77,2048,-575,-5838,675
175,4,-81,2048,191,-6272,136
176,-63,-80,2048,865,-6674,-360
177,-151,-44,2048,1207,-7020,-698
178,-270,22,2048,1335,-7293,-850
179,-340,56,2048,1292,-7573,-608
180,-403,56,2048,1189,-7903,-266
181,-483,67,2048,1068,-8270,-69
182,-579,77,2048,939,-8655,15
183,-661,59,1933,892,-9086,185
184,-771,41,1675,947,-9448,326
185,-854,-22,1420,1111,-9614,292
186,-877,-46,1164,1259,-9465,111
187,-894,-18,958,1132,-9110,-20
188,-918,-13,807,894,-8872,0
189,-904,-21,628,707,-8721,132
190,-871,3,388,498,-8651,261
191,-849,35,116,273,-8633,335
192,-838,137,-273,87,-8602,285
193,-840,271,-695,-163,-8329,314
194,-894,341,-1112,-329,-7641,517
195,-902,304,-1405,-223,-6821,777
196,-845,175,-1663,25,-5975,960
197,-800,-11,-1792,476,-4868,1052
198,-740,-139,-1790,1128,-3532,826
199,-604,-234,-1656,1794,-2262,185
200,-377,-178,-1592,2181,-1477,-668
201,-217,58,-1701,2044,-1331,-1372
202,-223,316,-1832,1587,-1467,-1500
