AccelerometerX,AccelerometerY,AccelerometerZ,Gesture,GyroscopeX,GyroscopeY,GyroscopeZ
-619.0,-156.0,4712.0,A,-310.0,111.0,-65.0
-593.0,-153.0,4793.0,A,-401.0,58.0,-68.0
-564.0,-155.0,4920.0,A,-473.0,-16.0,-68.0
-559.0,-141.0,5060.0,A,-601.0,-132.0,-77.0
-569.0,-97.0,5196.0,A,-779.0,-251.0,-97.0
-558.0,-38.0,5341.0,A,-864.0,-300.0,-115.0
-527.0,11.0,5489.0,A,-761.0,-254.0,-119.0
-516.0,42.0,5594.0,A,-547.0,-174.0,-119.0
-550.0,68.0,5660.0,A,-354.0,-116.0,-132.0
-608.0,106.0,5762.0,A,-174.0,-66.0,-162.0
-646.0,165.0,5961.0,A,85.0,24.0,-197.0
-631.0,228.0,6188.0,A,433.0,140.0,-226.0
-566.0,260.0,6316.0,A,780.0,209.0,-240.0
-478.0,244.0,6299.0,A,1072.0,173.0,-242.0
-405.0,220.0,6223.0,A,1278.0,20.0,-243.0
-380.0,244.0,6173.0,A,1321.0,-243.0,-271.0
-385.0,316.0,6134.0,A,1145.0,-562.0,-340.0
-350.0,370.0,6038.0,A,874.0,-819.0,-438.0
-216.0,365.0,5898.0,A,720.0,-901.0,-524.0
-11.0,328.0,5806.0,A,752.0,-817.0,-578.0
146.0,307.0,5819.0,A,877.0,-658.0,-608.0
163.0,303.0,5892.0,A,1084.0,-451.0,-640.0
52.0,299.0,5956.0,A,1500.0,-117.0,-684.0
-101.0,306.0,5996.0,A,2173.0,375.0,-742.0
-246.0,344.0,6033.0,A,2914.0,910.0,-812.0
-381.0,391.0,6056.0,A,3488.0,1313.0,-890.0
-494.0,429.0,6048.0,A,3824.0,1490.0,-966.0
-539.0,471.0,6018.0,A,3988.0,1434.0,-1022.0
-485.0,517.0,5975.0,A,4016.0,1162.0,-1042.0
-360.0,523.0,5891.0,A,3914.0,740.0,-1033.0
-209.0,459.0,5734.0,A,3724.0,298.0,-1015.0
-56.0,392.0,5522.0,A,3515.0,-44.0,-1012.0
68.0,404.0,5292.0,A,3308.0,-282.0,-1031.0
116.0,475.0,5047.0,A,3123.0,-438.0,-1071.0
62.0,513.0,4816.0,A,3026.0,-451.0,-1132.0
-66.0,505.0,4704.0,A,3092.0,-218.0,-1215.0
-253.0,520.0,4796.0,A,3320.0,248.0,-1305.0
-516.0,577.0,5013.0,A,3657.0,783.0,-1375.0
-831.0,587.0,5176.0,A,4042.0,1210.0,-1403.0
-1073.0,496.0,5193.0,A,4389.0,1456.0,-1388.0
-1132.0,360.0,5116.0,A,4575.0,1501.0,-1330.0
-1041.0,253.0,4985.0,A,4513.0,1341.0,-1231.0
-900.0,155.0,4760.0,A,4248.0,1017.0,-1103.0
-717.0,12.0,4430.0,A,3929.0,648.0,-974.0
-427.0,-165.0,4076.0,A,3667.0,327.0,-859.0
-84.0,-306.0,3759.0,A,3472.0,59.0,-756.0
123.0,-379.0,3443.0,A,3320.0,-160.0,-673.0
115.0,-405.0,3092.0,A,3236.0,-230.0,-649.0
28.0,-412.0,2775.0,A,3290.0,-13.0,-702.0
22.0,-404.0,2557.0,A,3518.0,467.0,-797.0
53.0,-371.0,2379.0,A,3839.0,979.0,-870.0
-19.0,-316.0,2126.0,A,4102.0,1281.0,-904.0
-209.0,-244.0,1796.0,A,4200.0,1320.0,-933.0
-397.0,-171.0,1483.0,A,4126.0,1200.0,-990.0
-527.0,-100.0,1232.0,A,3896.0,1004.0,-1070.0
-642.0,-20.0,1001.0,A,3505.0,749.0,-1151.0
-746.0,72.0,765.0,A,2988.0,462.0,-1212.0
-749.0,141.0,554.0,A,2476.0,214.0,-1238.0
-629.0,158.0,404.0,A,2071.0,14.0,-1216.0
-494.0,158.0,304.0,A,1731.0,-203.0,-1164.0
-454.0,209.0,242.0,A,1385.0,-450.0,-1115.0
-482.0,312.0,219.0,A,1108.0,-588.0,-1094.0
-500.0,400.0,234.0,A,1052.0,-494.0,-1094.0
-514.0,442.0,273.0,A,1195.0,-254.0,-1107.0
-586.0,471.0,336.0,A,1302.0,-93.0,-1135.0
-708.0,513.0,412.0,A,1194.0,-126.0,-1179.0
-809.0,536.0,463.0,A,912.0,-273.0,-1224.0
-871.0,538.0,463.0,A,593.0,-400.0,-1254.0
-947.0,571.0,463.0,A,286.0,-466.0,-1262.0
-1052.0,666.0,547.0,A,-14.0,-470.0,-1255.0
-1108.0,760.0,749.0,A,-296.0,-410.0,-1236.0
-1063.0,792.0,1015.0,A,-555.0,-325.0,-1213.0
-961.0,775.0,1270.0,A,-843.0,-323.0,-1190.0
-882.0,746.0,1466.0,A,-1179.0,-465.0,-1164.0
-829.0,683.0,1610.0,A,-1497.0,-696.0,-1130.0
-783.0,582.0,1755.0,A,-1743.0,-926.0,-1100.0
-790.0,517.0,1963.0,A,-1951.0,-1126.0,-1094.0
-917.0,562.0,2215.0,A,-2164.0,-1291.0,-1112.0
-1109.0,655.0,2414.0,A,-2338.0,-1363.0,-1126.0
-1211.0,679.0,2492.0,A,-2421.0,-1299.0,-1111.0
-1166.0,625.0,2520.0,A,-2455.0,-1166.0,-1060.0
-1117.0,594.0,2621.0,A,-2528.0,-1083.0,-979.0
-1210.0,626.0,2833.0,A,-2647.0,-1067.0,-878.0
