Subject,Class,AccelerometerX,AccelerometerY,AccelerometerZ
U001,0,-317,-3000,925
U001,0,-284,-2968,903
U001,0,-243,-2987,933
U001,0,-193,-3051,936
U001,0,-150,-3059,915
U001,0,-97,-3107,928
U001,0,-15,-3156,952
U001,0,36,-3285,946
U001,0,58,-3336,962
U001,0,60,-3381,925
U001,0,56,-3449,846
U001,0,52,-3455,793
U001,0,69,-3455,746
U001,0,26,-3471,671
U001,0,24,-3464,550
U001,0,-4,-3445,464
U001,0,22,-3400,440
U001,0,64,-3360,441
U001,0,58,-3295,456
U001,0,-67,-3549,522
U001,0,-147,-3716,631
U001,0,-9,-3657,659
U001,0,112,-3617,567
U001,0,93,-3573,545
U001,0,52,-3600,642
U001,0,50,-3747,637
U001,0,44,-3840,625
U001,0,-38,-3888,713
U001,0,2,-3931,711
U001,0,4,-4033,715
U001,0,-32,-4119,753
U001,0,-18,-4158,781
U001,0,3,-4211,788
U001,0,-9,-4230,785
U001,0,-36,-4282,706
U001,0,-46,-4358,580
U001,0,-40,-4445,424
U001,0,-31,-4505,339
U001,0,-39,-4547,352
U001,0,-122,-4660,701
U001,0,-637,-4872,1158
U001,0,-964,-5287,1218
U001,0,-1043,-5466,1269
U001,0,-1044,-5511,1147
U001,0,-784,-5391,619
U001,0,-321,-5082,254
U001,0,-76,-4724,521
U001,0,-82,-4345,774
U001,0,41,-4166,583
U001,0,-46,-4248,856
U001,0,-316,-4092,1004
U001,0,-611,-3960,1219
U001,0,-1067,-3927,1603
U001,0,-1470,-4071,1847
U001,0,-1593,-4285,1549
U001,0,-1389,-4472,1128
U001,0,-1138,-4446,941
U001,0,-1043,-4170,997
U001,0,-1032,-3853,1104
U001,0,-1049,-3822,1211
U001,0,-1091,-3730,1223
U001,0,-1123,-3577,1298
U001,0,-1050,-3422,1454
U001,0,-1003,-3294,1611
U001,0,-942,-3386,1612
U001,0,-816,-3431,1550
U001,0,-721,-3644,1433
U001,0,-797,-3766,1301
U001,0,-908,-3718,1162
U001,0,-901,-3761,1035
U001,0,-877,-3641,966
U001,0,-868,-3557,930
U001,0,-847,-3449,961
U001,0,-869,-3392,946
U001,0,-813,-3427,883
U001,0,-755,-3439,803
U001,0,-693,-3477,761
U001,0,-693,-3511,796
U001,0,-714,-3533,818
U001,0,-707,-3517,836
U001,0,-687,-3475,829
U001,0,-628,-3495,825
U001,0,-583,-3509,780
U001,0,-520,-3478,719
U001,0,-507,-3497,674
U001,0,-502,-3531,627
U001,0,-432,-3563,571
U001,0,-399,-3560,550
U001,0,-387,-3567,607
U001,0,-424,-3568,691
U001,0,-372,-3509,688
U001,0,-360,-3489,670
U001,0,-425,-3432,714
U001,0,-474,-3334,741
U001,0,-480,-3375,737
U001,0,-526,-3326,749
U001,0,-549,-3314,763
U001,0,-537,-3344,674
U001,0,-575,-3461,698
U001,0,-578,-3582,745
U001,0,-571,-3643,775
U001,0,-581,-3703,813
U001,0,-575,-3788,861
U001,0,-527,-3871,823
U001,0,-515,-4021,749
U001,0,-464,-4237,688
U001,0,-390,-4401,705
U001,0,-356,-4477,751
U001,0,-396,-4650,806
U001,0,-442,-4808,883
U001,0,-422,-4891,958
U001,0,-381,-4919,1000
U001,0,-368,-4846,971
U001,0,-369,-4801,888
U001,0,-517,-4741,953
U001,0,-749,-4873,1122
U001,0,-247,-5190,1573
U001,0,144,-5539,1909
U001,0,-142,-5555,1709
U001,0,-698,-5275,1505
U001,0,-860,-4961,1487
U001,0,-770,-4641,1492
U001,0,-727,-4295,1462
U001,0,-714,-4066,1422
U001,0,-659,-3784,1436
U001,0,-586,-3440,1410
U001,0,-514,-3001,1543
U001,0,-467,-2646,1819
U001,0,-581,-2406,2091
U001,0,-698,-2455,2261
U001,0,-604,-2704,2090
U001,0,-439,-3198,1882
U001,0,-337,-3729,1953
U001,0,-320,-4134,1926
U001,0,-377,-4541,1775
U001,0,-491,-4535,1531
U001,0,-430,-4220,1488
U001,0,-289,-4080,1564
U001,0,-298,-4138,1621
U001,0,-343,-4256,1581
U001,0,-412,-4131,1642
U001,0,-321,-3908,1523
U001,0,-125,-3668,1339
U001,0,-21,-3437,1209
U001,0,64,-3257,1076
U001,0,108,-3096,982
U001,0,103,-2959,902
U001,0,81,-2894,799
U001,0,21,-2772,776
U001,0,-12,-2673,811
U001,0,-70,-2713,823
U001,0,-59,-2733,852
U001,0,-35,-2804,896
U001,0,-29,-2986,873
U001,0,17,-3111,838
U001,0,84,-3193,790
U001,0,126,-3262,677
U001,0,144,-3335,582
U001,0,195,-3351,497
U001,0,208,-3395,382
U001,0,158,-3402,337
U001,0,138,-3400,312
U001,0,97,-3352,321
U001,0,46,-3259,362
U001,0,42,-3156,375
U001,0,37,-3121,371
U001,0,30,-3277,389
U001,0,31,-3449,394
U001,0,120,-3645,433
U001,0,187,-3930,461
U001,0,95,-4125,488
U001,0,69,-4217,507
U001,0,92,-4292,512
U001,0,64,-4360,398
U001,0,70,-4370,264
U001,0,61,-4387,184
U001,0,103,-4398,119
U001,0,221,-4409,27
U001,0,309,-4415,-31
U001,0,470,-4431,-40
U001,0,640,-4664,-63
U001,0,773,-4836,-94
U001,0,778,-4912,-111
U001,0,639,-5126,81
U001,0,-146,-5418,690
U001,0,-997,-5470,938
U001,0,-1012,-5429,1011
U001,0,-580,-5350,954
U001,0,-552,-5132,764
U001,0,-648,-4900,529
U001,0,-494,-4815,468
U001,0,-182,-4656,445
U001,0,-88,-4315,592
U001,0,-423,-4158,913
U001,0,-1234,-4432,1788
U001,0,-1848,-4839,2444
U001,0,-1731,-4954,1986
U001,0,-1311,-4833,1021
U001,0,-989,-4765,356
U001,0,-974,-4869,359
U001,0,-956,-4739,557
U001,0,-844,-4586,711
U001,0,-921,-4511,990
U001,0,-962,-4266,1063
U001,0,-938,-3915,1008
U001,0,-832,-3662,972
U001,0,-805,-3521,978
U001,0,-844,-3418,977
U001,0,-783,-3376,899
U001,0,-677,-3354,793
U001,0,-619,-3328,775
U001,0,-624,-3292,747
U001,0,-650,-3281,682
U001,0,-646,-3231,683
U001,0,-648,-3162,694
U001,0,-684,-3099,672
U001,0,-659,-3102,648
U001,0,-668,-3085,657
U001,0,-693,-3126,601
U001,0,-672,-3195,522
U001,0,-651,-3219,465
U001,0,-572,-3292,393
U001,0,-495,-3356,427
U001,0,-468,-3401,495
U001,0,-445,-3418,551
U001,0,-365,-3387,538
U001,0,-341,-3358,550
U001,0,-357,-3372,565
U001,0,-323,-3423,528
U001,0,-273,-3458,506
U001,0,-236,-3512,490
U001,0,-232,-3527,417
U001,0,-209,-3539,405
U001,0,-268,-3557,383
U001,0,-359,-3518,339
U001,0,-442,-3524,356
U001,0,-535,-3622,345
U001,0,-649,-3730,413
U001,0,-710,-3793,533
U001,0,-684,-3853,682
U001,0,-576,-3971,808
U001,0,-539,-4148,839
U001,0,-522,-4311,927
U001,0,-664,-4456,948
U001,0,-719,-4627,1006
U001,0,-671,-4744,1044
U001,0,-587,-4783,1006
U001,0,-583,-4848,916
U001,0,-651,-4933,770
U001,0,-574,-4884,894
U001,0,-857,-4911,546
U001,0,-407,-4907,962
U001,0,-4,-5022,1428
U001,0,-34,-5055,1567
U001,0,-367,-4877,1496
U001,0,-648,-4579,1632
U001,0,-787,-4169,1752
U001,0,-690,-3692,1654
U001,0,-557,-3385,1424
U001,0,-365,-3029,1261
U001,0,-235,-2609,1401
U001,0,-619,-2335,1977
U001,0,-812,-2513,2512
U001,0,-598,-3001,2690
U001,0,-420,-3775,2734
U001,0,-573,-4431,2586
U001,0,-745,-4981,2318
U001,0,-847,-5168,2023
U001,0,-671,-5124,1678
U001,0,-471,-4952,1598
U001,0,-298,-4425,1502
U001,0,-282,-4241,1350
U001,0,-382,-4088,1388
U001,0,-461,-3792,1388
U001,0,-417,-3541,1343
U001,0,-281,-3393,1336
U001,0,-159,-3301,1186
U001,0,-3,-3161,965
U001,0,125,-2995,877
U001,0,183,-2928,817
U001,0,137,-2858,834
U001,0,124,-2768,900
U001,0,79,-2800,888
U001,0,49,-2892,766
U001,0,-9,-2982,756
U001,0,-1,-3009,745
U001,0,-53,-3055,786
U001,0,-113,-3074,730
U001,0,-83,-3032,693
U001,0,38,-3040,595
U001,0,72,-3088,526
U001,0,19,-3136,442
U001,0,7,-3177,309
U001,0,25,-3212,216
U001,0,32,-3236,139
U001,0,75,-3211,88
U001,0,126,-3147,77
U001,0,192,-3142,47
U001,0,218,-3142,63
U001,0,230,-3132,221
U001,0,19,-3740,281
U001,0,64,-4249,423
U001,0,241,-4281,687
U001,0,283,-4507,767
U001,0,298,-4782,699
U001,0,297,-4817,590
U001,0,317,-4940,488
U001,0,424,-5098,240
U001,0,561,-5097,-8
U001,0,664,-5077,-151
U001,0,738,-5095,-350
U001,0,800,-4926,-475
U001,0,914,-4859,-312
U001,0,558,-5051,448
U001,0,-515,-5225,861
U001,0,-1106,-5496,1019
U001,0,-1085,-5254,1254
U001,0,-924,-5200,1424
U001,0,-1070,-5429,1305
U001,0,-838,-5098,1010
U001,0,-472,-4876,841
U001,0,-257,-4559,795
U001,0,-289,-4199,893
U001,0,-660,-4000,1122
U001,0,-1354,-4102,1567
U001,0,-1693,-4282,1606
U001,0,-1439,-4452,1164
U001,0,-1169,-4529,1005
U001,0,-1172,-4659,1017
U001,0,-1076,-4742,885
U001,0,-975,-4609,845
U001,0,-915,-4375,965
U001,0,-881,-4086,1022
U001,0,-846,-3694,934
U001,0,-800,-3386,948
U001,0,-785,-3219,977
U001,0,-834,-3173,1047
U001,0,-871,-3167,1066
U001,0,-816,-3213,990
U001,0,-723,-3308,914
U001,0,-733,-3329,900
U001,0,-759,-3328,897
U001,0,-752,-3295,854
U001,0,-762,-3235,752
U001,0,-776,-3182,712
U001,0,-746,-3173,694
U001,0,-736,-3144,704
U001,0,-749,-3169,678
U001,0,-685,-3202,603
U001,0,-565,-3260,619
U001,0,-562,-3289,651
U001,0,-565,-3374,664
U001,0,-535,-3402,580
U001,0,-515,-3343,594
U001,0,-484,-3345,627
U001,0,-455,-3373,683
U001,0,-434,-3434,694
U001,0,-432,-3481,672
U001,0,-419,-3568,668
U001,0,-394,-3642,648
U001,0,-412,-3584,627
U001,0,-421,-3574,659
U001,0,-484,-3545,682
U001,0,-592,-3537,500
U001,0,-643,-3498,406
U001,0,-699,-3546,480
U001,0,-799,-3571,537
U001,0,-759,-3618,644
U001,0,-695,-3759,857
U001,0,-731,-3952,946
U001,0,-707,-4134,1074
U001,0,-738,-4330,1152
U001,0,-809,-4588,1279
U001,0,-863,-4656,1348
U001,0,-803,-4961,1260
U001,0,-748,-5068,1320
U001,0,-651,-5105,1324
U001,0,-597,-5286,1335
U001,0,-524,-5309,1410
U001,0,-538,-5313,1403
U001,0,-589,-5148,1328
U001,0,-388,-5033,1299
U001,0,-396,-4938,1264
U001,0,-505,-4688,1102
U001,0,-551,-4188,1023
U001,0,-490,-3799,1062
U001,0,-484,-3333,1215
U001,0,-245,-2962,1456
U001,0,-66,-2710,2076
U001,0,-317,-2789,2918
U001,0,-516,-2906,3096
U001,0,-597,-3364,2465
U001,0,-401,-3873,1931
U001,0,-387,-4060,1638
U001,0,-494,-3934,1484
U001,0,-388,-3912,1459
U001,0,-254,-3738,1477
U001,0,-131,-3713,1288
U001,0,-75,-3591,1095
U001,0,-231,-3545,1222
U001,0,-324,-3633,1337
U001,0,-228,-3559,1248
U001,0,-193,-3598,1251
U001,0,-63,-3502,1186
U001,0,48,-3430,1025
U001,0,53,-3366,950
U001,0,80,-3327,868
U001,0,72,-3304,756
U001,0,74,-3204,641
U001,0,63,-3189,579
U001,0,53,-3212,578
U001,0,55,-3204,577
U001,0,45,-3195,650
U001,0,30,-3224,619
U001,0,54,-3184,635
U001,0,110,-3118,591
U001,0,146,-3108,525
U001,0,164,-3053,464
U001,0,165,-3100,439
U001,0,164,-3182,394
U001,0,146,-3239,328
U001,0,166,-3311,238
U001,0,212,-3385,174
U001,0,273,-3433,154
U001,0,305,-3478,163
U001,0,305,-3608,232
U001,0,269,-3763,449
U001,0,138,-3915,725
U001,0,12,-4294,907
U001,0,72,-4601,897
U001,0,248,-4777,779
U001,0,334,-4943,704
U001,0,390,-5036,485
U001,0,444,-5234,304
U001,0,514,-5298,277
U001,0,508,-5373,245
U001,0,312,-5393,359
U001,0,58,-5528,561
U001,0,-277,-5448,875
U001,0,-375,-5416,975
U001,0,-227,-5394,810
U001,0,-253,-5284,723
U001,0,-395,-5003,755
U001,0,-201,-4734,788
U001,0,-170,-4406,687
U001,0,-364,-4153,614
U001,0,-695,-4124,1069
U001,0,-1263,-4226,1781
U001,0,-1666,-4410,1973
U001,0,-1561,-4464,1575
U001,0,-1259,-4451,1066
U001,0,-1000,-4411,898
U001,0,-887,-4375,833
U001,0,-896,-4322,927
U001,0,-901,-4193,1026
U001,0,-882,-3983,1105
U001,0,-890,-3768,1126
