Subject,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,marker
BtnAAB216B5,-487,-2064,3526,-52,-66,-24, 
BtnAAB216B5,-462,-2072,3539,-55,-68,-24, 
BtnAAB216B5,-442,-2078,3545,-55,-66,-24, 
BtnAAB216B5,-436,-2085,3570,-52,-61,-21, 
BtnAAB216B5,-428,-2094,3565,-51,-53,-20, 
BtnAAB216B5,-417,-2103,3564,-50,-48,-18, 
BtnAAB216B5,-420,-2099,3567,-47,-46,-14, 
BtnAAB216B5,-406,-2109,3558,-45,-45,-16, 
BtnAAB216B5,-388,-2117,3551,-42,-42,-16, 
BtnAAB216B5,-376,-2114,3544,-40,-40,-15, 
BtnAAB216B5,-384,-2121,3555,-40,-37,-16, 
BtnAAB216B5,-384,-2129,3558,-38,-31,-18, 
BtnAAB216B5,-388,-2134,3563,-35,-22,-20, 
BtnAAB216B5,-407,-2137,3574,-29,-13,-21, 
BtnAAB216B5,-413,-2130,3561,-26,-7,-17, 
BtnAAB216B5,-424,-2116,3552,-23,-4,-16, 
BtnAAB216B5,-426,-2112,3546,-21,-3,-13, 
BtnAAB216B5,-416,-2101,3553,-19,-2,-9, 
BtnAAB216B5,-419,-2094,3538,-16,2,-7, 
BtnAAB216B5,-417,-2091,3527,-15,7,-6, 
BtnAAB216B5,-418,-2093,3538,-13,14,-5, 
BtnAAB216B5,-437,-2090,3536,-12,22,-3, 
BtnAAB216B5,-462,-2082,3533,-12,26,-2, 
BtnAAB216B5,-494,-2093,3544,-12,27,-1, 
BtnAAB216B5,-519,-2100,3569,-14,27,2, 
BtnAAB216B5,-544,-2099,3566,-13,24,3, 
BtnAAB216B5,-539,-2091,3556,-11,18,3, 
BtnAAB216B5,-529,-2077,3537,-10,14,4, 
BtnAAB216B5,-536,-2067,3522,-8,12,5, 
BtnAAB216B5,-544,-2046,3515,-9,9,3, 
BtnAAB216B5,-533,-2034,3510,-10,5,1, 
BtnAAB216B5,-537,-2017,3509,-10,2,-1, 
BtnAAB216B5,-538,-2024,3516,-13,-1,-1, 
BtnAAB216B5,-533,-2030,3523,-17,-4,-1, 
BtnAAB216B5,-540,-2037,3530,-19,-7,-5, 
BtnAAB216B5,-532,-2042,3545,-20,-12,-7, 
BtnAAB216B5,-521,-2046,3530,-22,-14,-7, 
BtnAAB216B5,-520,-2053,3536,-24,-16,-8, 
BtnAAB216B5,-507,-2051,3519,-25,-18,-9, 
BtnAAB216B5,-505,-2051,3522,-26,-19,-13, 
BtnAAB216B5,-497,-2055,3515,-27,-19,-14, 
BtnAAB216B5,-498,-2061,3520,-29,-20,-14, 
BtnAAB216B5,-496,-2065,3528,-31,-23,-15, 
BtnAAB216B5,-495,-2081,3523,-34,-27,-15, 
BtnAAB216B5,-491,-2084,3523,-35,-27,-16, 
BtnAAB216B5,-480,-2074,3536,-35,-30,-16, 
BtnAAB216B5,-469,-2066,3532,-37,-33,-17, 
BtnAAB216B5,-463,-2074,3530,-39,-35,-20, 
BtnAAB216B5,-442,-2075,3540,-39,-34,-20, 
BtnAAB216B5,-424,-2076,3530,-40,-35,-20, 
BtnAAB216B5,-428,-2087,3513,-39,-34,-23, 
BtnAAB216B5,-437,-2086,3512,-41,-30,-24, 
BtnAAB216B5,-445,-2087,3515,-42,-30,-26, 
BtnAAB216B5,-445,-2093,3527,-41,-30,-27, 
BtnAAB216B5,-457,-2085,3535,-41,-29,-27, 
BtnAAB216B5,-448,-2090,3531,-44,-32,-27, 
BtnAAB216B5,-453,-2094,3516,-40,-33,-28, 
BtnAAB216B5,-436,-2099,3520,-42,-36,-29, 
BtnAAB216B5,-431,-2097,3520,-42,-36,-31, 
BtnAAB216B5,-430,-2096,3525,-43,-38,-29, 
BtnAAB216B5,-421,-2093,3532,-42,-37,-27, 
BtnAAB216B5,-404,-2105,3523,-45,-38,-29, 
BtnAAB216B5,-410,-2100,3528,-45,-39,-28, 
BtnAAB216B5,-409,-2108,3517,-50,-39,-29, 
BtnAAB216B5,-406,-2105,3508,-49,-36,-30, 
BtnAAB216B5,-409,-2104,3515,-48,-35,-30, 
BtnAAB216B5,-424,-2120,3518,-50,-37,-32, 
BtnAAB216B5,-420,-2123,3516,-49,-38,-34, 
BtnAAB216B5,-419,-2108,3525,-49,-42,-35, 
BtnAAB216B5,-405,-2111,3511,-49,-43,-35, 
BtnAAB216B5,-376,-2103,3505,-46,-43,-33, 
