AccelerometerX,AccelerometerY,AccelerometerZ,Subject
-760,-1603,3961,1
-634,-1642,3943,1
-420,-1389,3805,1
-838,-1586,1691,1
-137,-1731,5919,1
1613,-388,4140,1
-788,-1288,3694,1
-497,-1303,3749,1
-526,-1196,3962,1
-238,-1132,4080,1
-458,-1206,4015,1
-427,-1038,4051,1
-418,-1002,4132,1
-226,-812,4301,1
-170,-1032,3805,1
-163,-1351,4109,1
70,-1262,4077,1
-78,-1177,4028,1
-171,-1585,3713,1
-46,-1377,3599,1
-193,-1583,3415,1
-279,-1688,3470,1
491,-1202,2662,1
-121,-1599,3823,1
347,-1414,4467,1
186,-2108,3962,1
287,-1697,3826,1
123,-1929,4074,1
325,-1721,3605,1
417,-1660,3718,1
691,-1394,3981,1
511,-1609,4369,1
505,-1512,4489,1
301,-1549,3860,1
606,-1193,3792,1
750,-1116,3609,1
620,-1422,3418,1
759,-1482,3498,1
565,-1413,3949,1
969,-1425,3745,1
978,-1303,3739,1
965,-884,3599,1
602,-1298,3732,1
757,-955,3623,1
1019,-183,3679,1
195,576,3767,1
1693,-444,3902,1
1700,-908,5038,1
-1324,-89,4732,1
201,-702,4214,1
-327,-1095,3242,1
254,-283,4286,1
-1380,-351,4443,1
-1236,-1666,3849,1
-1011,-1602,3125,1
-625,-1726,3458,1
-882,-1296,3847,1
-1266,-1010,3935,1
-1631,-1000,4055,1
-1196,-1216,4169,1
-1085,-1504,3576,1
-941,-1680,3525,1
-945,-975,3753,1
-1412,-346,3981,1
-468,-494,4082,1
34,-790,4378,1
-216,-1407,4421,1
-574,-1281,3989,1
-361,-979,4317,1
355,-726,4517,1
-15,-1029,4222,1
-158,-990,4139,1
-195,-974,4125,1
-724,-995,3821,1
-1082,-1017,3587,1
-1207,-1206,3420,1
-1176,-1267,3751,1
-1072,-1456,3845,1
-838,-2304,3543,1
-1256,-831,3834,1
-947,-1425,3470,1
-980,-1207,3415,1
-1023,-1210,3550,1
-1160,-1269,3550,1
-1207,-1252,4025,1
-1350,-1287,3853,1
-1400,-1217,3779,1
-1557,-1144,3954,1
-1554,-1128,4291,1
-1367,-1062,4228,1
-1325,-951,3835,1
-1172,-862,3634,1
-1190,-877,3551,1
-1257,-961,3577,1
-1316,-953,3884,1
-1350,-890,3929,1
-1394,-867,3899,1
-1313,-796,3840,1
-1148,-810,3886,1
-1003,-808,3984,1
-862,-807,3992,1
-879,-822,3951,1
-916,-861,4107,1
-992,-896,4191,1
-1051,-976,4236,1
-1113,-937,4161,1
-1159,-970,4107,1
-1243,-967,3970,1
-1269,-962,3950,1
-1280,-970,3935,1
-1319,-922,3876,1
-1358,-912,3790,1
-1355,-884,3752,1
-1372,-915,3754,1
-1358,-955,3738,1
-1309,-980,3763,1
-1286,-979,3782,1
-1252,-998,3857,1
-1215,-981,3965,1
-1177,-940,4018,1
-1132,-910,4021,1
-1109,-879,3938,1
-1137,-862,3882,1
-1152,-841,3924,1
-1184,-868,4037,1
-1172,-888,4149,1
-1206,-897,4097,1
-1196,-857,4074,1
-1145,-856,4097,1
-1103,-848,4031,1
-1128,-884,3948,1
-1137,-905,3928,1
-1151,-896,3912,1
-1217,-904,3885,1
-1223,-893,3887,1
-1210,-900,3894,1
-1228,-872,3912,1
-1221,-853,3941,1
-1216,-844,3914,1
-1184,-835,3875,1
-1102,-837,3906,1
-1114,-854,3996,1
-1118,-861,4064,1
-1099,-853,4008,1
-1179,-857,3941,1
-1216,-885,3891,1
-1231,-887,3898,1
-1227,-879,3879,1
-1226,-863,3862,1
-1210,-851,3885,1
-1143,-850,3922,1
-1113,-882,3965,1
-1115,-853,4004,1
-1117,-844,3972,1
-1105,-843,3886,1
-1122,-841,3908,1
-1086,-842,3888,1
-1122,-888,3921,1
-1147,-910,3887,1
-1136,-896,3922,1
-1118,-897,3970,1
-1087,-885,3987,1
-1061,-881,3979,1
-1059,-863,3967,1
-1033,-873,3967,1
-1057,-852,3975,1
-1050,-861,3959,1
-1064,-858,3909,1
-1079,-885,3922,1
-1104,-886,3940,1
-1129,-913,3983,1
-1092,-894,3971,1
-1057,-884,3996,1
-1075,-882,4048,1
-1087,-884,4030,1
-1084,-895,4019,1
-1074,-891,4026,1
-1033,-893,4001,1
-1000,-897,4006,1
-1067,-892,3916,1
-1062,-895,3912,1
-1058,-899,3923,1
-1080,-913,3914,1
-1108,-940,3951,1
-1064,-918,3950,1
-1057,-904,3912,1
-1045,-897,3899,1
-1033,-931,3889,1
-1028,-939,3963,1
-1036,-914,3967,1
-1029,-925,3962,1
-1022,-937,3978,1
-976,-916,3992,1
-976,-912,3931,1
-966,-912,3922,1
-990,-925,3965,1
-1025,-930,3969,1
-1034,-933,3983,1
-1054,-932,3958,1
-1031,-917,3930,1
-1000,-930,3933,1
-1008,-955,3936,1
-1001,-949,3982,1
-984,-925,3962,1
-1024,-920,3995,1
-1049,-936,3973,1
-1052,-941,3973,1
-1063,-954,3976,1
-1049,-950,4016,1
-1028,-957,3988,1
-1037,-967,4011,1
-1028,-952,3985,1
-1010,-976,3989,1
-1036,-978,3981,1
-1005,-976,3978,1
-981,-963,3919,1
-959,-948,3954,1
-1000,-949,3980,1
-981,-982,4106,1
-1003,-928,4283,1
-857,-789,4470,1
-936,-904,4793,1
-1133,-886,5591,1
-1168,-975,6185,1
-967,-1108,6478,1
-402,-1074,7099,1
-756,-1262,6861,1
-768,-1337,6372,1
-1096,-1632,6192,1
-1098,-1751,5853,1
-1005,-1688,5764,1
-938,-1586,5327,1
-999,-1487,4484,1
-1016,-1355,3487,1
-1145,-1137,2893,1
-790,-395,1527,1
-508,-98,1386,1
-462,-55,1484,1
-499,-84,1807,1
-514,-193,1914,1
-530,-160,1736,1
-271,-60,1680,1
-145,-26,1643,1
-319,-139,1823,1
-282,-304,2014,1
-305,-368,2189,1
-328,-378,2147,1
-266,-234,1926,1
-156,-108,1643,1
-24,-192,1544,1
-115,-530,1725,1
-444,-757,2300,1
-431,-653,2690,1
-1255,-1131,3301,1
-2069,-1602,4371,1
-1937,-1423,4944,1
-1811,-1581,4811,1
-2004,-1519,5032,1
-2705,-1906,6056,1
-2726,-1845,6323,1
-2678,-1672,6269,1
-2450,-1486,5799,1
-2269,-1361,5430,1
-2411,-1453,5448,1
-2348,-1293,5508,1
-2068,-1191,5202,1
-1877,-1107,4778,1
-1794,-1053,4565,1
-1708,-1055,4405,1
-1594,-1038,4191,1
-1490,-1023,4097,1
-1443,-1067,3807,1
-1527,-1136,3720,1
-1478,-1144,3760,1
-1421,-1163,3827,1
-1398,-1160,3805,1
-1342,-1146,3734,1
-1320,-1157,3747,1
-1319,-1137,3787,1
-1301,-1149,3766,1
-1280,-1136,3696,1
-1287,-1084,3723,1
-1347,-1095,3770,1
-1368,-1103,3823,1
-1381,-1112,3858,1
-1326,-1055,3914,1
-1346,-1064,3879,1
-1356,-1062,3844,1
-1412,-1074,3905,1
-1397,-1069,3990,1
-1314,-1003,3877,1
-1322,-1052,3905,1
-1321,-1045,3934,1
-1323,-1051,3931,1
-1353,-1036,3890,1
-1379,-1061,3910,1
-1343,-1031,3904,1
-1364,-1036,3896,1
-1326,-1023,3907,1
-1300,-1015,3876,1
-1266,-1012,3834,1
-1285,-1023,3870,1
-1260,-1023,3853,1
-1255,-1018,3862,1
-1244,-1043,3843,1
-1293,-1024,3849,1
-1332,-1036,3885,1
-1362,-1038,3973,1
-1443,-1076,4037,1
-1533,-1093,4053,1
-1589,-1095,4064,1
-1628,-1087,4010,1
-1688,-1108,3966,1
-1673,-1073,3946,1
-1673,-1079,3864,1
-1617,-1081,3905,1
-1571,-1086,3848,1
-1547,-999,3683,1
-1571,-1018,3452,1
-1585,-1022,3244,1
-1619,-1016,3299,1
-1400,-937,3388,1
-1167,-839,3600,1
-1048,-768,3712,1
-1004,-753,3816,1
-1087,-779,3887,1
-1001,-715,3977,1
-908,-761,3998,1
-659,-669,4147,1
-757,-813,4160,1
-802,-818,4096,1
-643,-761,4194,1
-756,-829,4213,1
-814,-847,4157,1
-712,-826,4191,1
-754,-814,4224,1
-799,-834,4177,1
-820,-810,4106,1
-840,-851,4101,1
-811,-774,4099,1
-801,-754,4112,1
-653,-707,4104,1
-693,-728,4069,1
-697,-710,4076,1
-769,-750,4005,1
-709,-697,4009,1
-729,-679,3982,1
-720,-634,3994,1
-758,-694,3976,1
-775,-712,4063,1
-831,-719,4053,1
-832,-720,4012,1
-867,-744,3988,1
-814,-728,3945,1
-813,-720,3999,1
-718,-718,4052,1
-731,-723,4055,1
-777,-730,4055,1
